k_value,n
66,21
53,20
40,18
48,15
58,14
60,14
63,14
35,13
42,13
76,13
115,13
133,13
135,13
141,13
154,13
34,12
45,12
55,12
61,12
92,12
27,11
29,11
32,11
44,11
71,11
31,10
47,10
68,10
74,10
28,9
36,9
37,9
50,9
110,9
123,9
128,9
130,9
138,9
146,9
22,8
39,8
84,8
102,8
117,8
143,8
30,7
38,7
43,7
49,7
51,7
52,7
57,7
79,7
94,7
118,7
137,7
18,6
46,6
62,6
65,6
72,6
73,6
97,6
99,6
105,6
107,6
112,6
120,6
129,6
132,6
140,6
148,6
151,6
156,6
159,6
16,5
21,5
26,5
67,5
81,5
98,5
104,5
116,5
136,5
153,5
177,5
23,4
25,4
41,4
70,4
75,4
88,4
89,4
93,4
103,4
106,4
119,4
122,4
144,4
161,4
185,4
15,3
19,3
24,3
33,3
54,3
59,3
78,3
83,3
85,3
86,3
87,3
91,3
96,3
108,3
109,3
114,3
124,3
125,3
126,3
131,3
134,3
139,3
150,3
158,3
167,3
174,3
14,2
20,2
64,2
77,2
100,2
101,2
111,2
113,2
121,2
127,2
142,2
145,2
165,2
172,2
179,2
180,2
184,2
187,2
190,2
195,2
4,1
7,1
11,1
12,1
17,1
80,1
82,1
90,1
95,1
149,1
152,1
157,1
162,1
163,1
164,1
166,1
169,1
171,1
176,1
181,1
182,1
198,1
242,1
260,1
