z_value,k_value,sep
174846668263,217,111502828
174837383908,217,9284355
174833982252,217,3401656
174791951199,217,42031053
174702148652,217,89802547
174619396218,217,82752434
173883871409,217,735524809
173505369574,217,378501835
173459030223,217,46339351
173449037597,217,9992626
173431485426,217,17552171
173424450914,217,7034512
173407611670,217,16839244
173396779458,217,10832212
173336966429,217,59813029
173310070066,217,26896363
173286132515,217,23937551
173252247507,217,33885008
173245228129,217,7019378
173231369816,217,13858313
173153182026,217,78187790
173145329813,217,7852213
173118998064,217,26331749
173112594523,217,6403541
173108154443,217,4440080
173107242212,217,912231
173089193414,217,18048798
173054193380,217,35000034
173013614724,217,40578656
172990662512,217,22952212
172939841869,217,50820643
172915206058,217,24635811
172910212074,217,4993984
172899807338,217,10404736
172873381526,217,26425812
172841920052,217,31461474
172716783127,217,125136925
172695503105,217,21280022
172681441065,217,14062040
172574143624,217,107297441
172573584598,217,559026
172511941987,217,61642611
172510439763,217,1502224
172357328237,217,153111526
172332707560,217,24620677
172205131967,217,127575593
172152855667,217,52276300
172112658388,217,40197279
172107226914,217,5431474
172107089079,217,137835
172101584729,217,5504350
172038296005,217,63288724
171822231729,217,216064276
171712276759,217,109954970
171668953496,217,43323263
171563277487,217,105676009
171559167328,217,4110159
171557277209,217,1890119
171549608931,217,7668278
171517166077,217,32442854
171462705359,217,54460718
171451386996,217,11318363
171447767411,217,3619585
171417057748,217,30709663
171415020712,217,2037036
171407465358,217,7555354
171395802405,217,11662953
171383576934,217,12225471
171373035526,217,10541408
171098377556,217,274657970
170993496199,217,104881357
170971074375,217,22421824
170914193150,217,56881225
170896105003,217,18088147
170889399946,217,6705057
170858102618,217,31297328
170838533436,217,19569182
170810199110,217,28334326
170688210521,217,121988589
35463341512,217,135224869009
35443031462,217,20310050
32793456689,217,2649574773
32539588167,217,253868522
32519971487,217,19616680
32331465511,217,188505976
32301244094,217,30221417
32116209390,217,185034704
32103818376,217,12391014
32077461714,217,26356662
32066575951,217,10885763
32040716149,217,25859802
31971944729,217,68771420
31963931863,217,8012866
31906605931,217,57325932
31898891787,217,7714144
31894886401,217,4005386
31770553208,217,124333193
31646477525,217,124075683
31473819865,217,172657660
31450133073,217,23686792
31378661981,217,71471092
31351305778,217,27356203
30955210794,217,396094984
30927042245,217,28168549
30657663709,217,269378536
30455564848,217,202098861
30441790121,217,13774727
30377920252,217,63869869
30362623744,217,15296508
30227460666,217,135163078
30225288589,217,2172077
30184689677,217,40598912
30178526650,217,6163027
30134943547,217,43583103
30122985365,217,11958182
30069202185,217,53783180
29992177384,217,77024801
29977849685,217,14327699
29930914054,217,46935631
29773300048,217,157614006
29702681350,217,70618698
29697116232,217,5565118
29693861492,217,3254740
29692995828,217,865664
29681819492,217,11176336
29679888161,217,1931331
29579221039,217,100667122
29571560678,217,7660361
29528253945,217,43306733
29518588214,217,9665731
29411329190,217,107259024
29338570545,217,72758645
29122769367,217,215801178
28867607937,217,255161430
28667575680,217,200032257
28618510813,217,49064867
28563298053,217,55212760
28560093837,217,3204216
28518166161,217,41927676
28482774972,217,35391189
5914686015,217,22568088957
5910555134,217,4130881
5891608075,217,18947059
5890382920,217,1225155
5463785492,217,426597428
5149818026,217,313967466
5141229369,217,8588657
5043625134,217,97604235
4966884619,217,76740515
4938045051,217,28839568
4808612168,217,129432883
4797896371,217,10715797
4794312409,217,3583962
4765889142,217,28423267
869911630,217,3895977512
