z_value,k_value,sep
845181570,217,1156
886119484,217,1162
824886076,217,1165
829810306,217,1173
801395360,217,1175
138545459,217,1175
854865973,217,1176
876755223,217,1179
790981443,217,1186
873836909,217,1187
862187304,217,1193
840711057,217,1197
887343919,217,1202
812122643,217,1202
796995899,217,1202
848599062,217,1211
800663540,217,1211
859855047,217,1226
886581087,217,1235
140076170,217,1238
831387910,217,1239
851585780,217,1241
835010540,217,1241
801456927,217,1243
865647148,217,1245
885610641,217,1246
801571802,217,1251
845948291,217,1253
886120646,217,1258
820256449,217,1259
819561465,217,1260
858319153,217,1265
886463520,217,1267
812742908,217,1270
829804600,217,1275
846114030,217,1280
840170204,217,1281
815688096,217,1282
839762956,217,1285
831905088,217,1289
832850682,217,1290
151784683,217,1291
139927796,217,1293
879113123,217,1295
131785643,217,1300
863421365,217,1301
836722386,217,1303
856827744,217,1306
790335290,217,1316
875975418,217,1319
845866269,217,1319
137530397,217,1327
885573911,217,1341
872947953,217,1341
139287218,217,1348
794308115,217,1349
855932496,217,1357
983966466,217,1358
884205095,217,1358
791232391,217,1367
810230889,217,1369
144902634,217,1371
984729832,217,1374
885985518,217,1374
825281724,217,1377
823542249,217,1379
865457751,217,1380
856527811,217,1382
859424691,217,1385
845940455,217,1394
137531724,217,1394
878943141,217,1399
831486425,217,1402
148496678,217,1404
864317103,217,1405
856364549,217,1406
839773629,217,1407
844334723,217,1410
140708417,217,1410
791239104,217,1414
867055686,217,1416
840621259,217,1416
828174728,217,1420
812267489,217,1422
860141208,217,1430
146686884,217,1444
829257390,217,1447
876016496,217,1451
815845128,217,1452
837627096,217,1457
842304702,217,1467
835168409,217,1468
815823414,217,1471
824995675,217,1477
135033192,217,1481
837780903,217,1490
148834092,217,1490
886025634,217,1502
802156553,217,1502
802224108,217,1503
800947461,217,1503
882516747,217,1504
133293044,217,1505
836588722,217,1506
815681619,217,1511
814767707,217,1512
141871744,217,1514
840014833,217,1520
910703582,217,1521
985116159,217,1524
823311021,217,1529
138661817,217,1529
819365831,217,1530
873302105,217,1536
834835900,217,1540
814948275,217,1543
833286863,217,1545
882629452,217,1546
818844192,217,1550
828183044,217,1551
856867718,217,1557
819499296,217,1557
823794659,217,1559
836826945,217,1560
839015714,217,1561
854977824,217,1564
833277166,217,1566
836004424,217,1568
821964619,217,1570
851941008,217,1572
984105594,217,1576
831484835,217,1590
886164055,217,1608
885028993,217,1614
856977801,217,1616
839252640,217,1620
845973290,217,1635
842569717,217,1651
137596881,217,1652
794609606,217,1653
887790961,217,1660
827993174,217,1661
885949717,217,1664
822469450,217,1668
801475341,217,1673
147841079,217,1676
885034927,217,1692
839334269,217,1695
874025574,217,1697
816583220,217,1702
910889717,217,1704
832208565,217,1705
870127704,217,1706
23190553,217,1706
790093122,217,1707
887846909,217,1711
809552178,217,1718
846521356,217,1721
820251741,217,1722
814771186,217,1728
137922686,217,1728
910581220,217,1730
828184595,217,1731
823709707,217,1731
885030607,217,1738
790845150,217,1739
845862404,217,1752
843766768,217,1753
799927734,217,1757
794221955,217,1759
864298344,217,1761
819989689,217,1763
832781549,217,1771
853455413,217,1773
861107207,217,1775
842185442,217,1778
812966073,217,1780
886402609,217,1786
822977214,217,1790
822026158,217,1802
883660182,217,1811
131778257,217,1813
835724016,217,1820
819371374,217,1821
865453130,217,1825
812186120,217,1827
825337041,217,1831
910589075,217,1832
832986050,217,1839
141954444,217,1840
870156886,217,1841
821463364,217,1845
823312550,217,1851
860246099,217,1853
843416087,217,1854
838169356,217,1854
856975945,217,1856
801569076,217,1857
827446880,217,1858
983197334,217,1871
874603939,217,1875
861134021,217,1875
856865843,217,1875
887945757,217,1881
897289998,217,1883
147567265,217,1886
22969495,217,1898
164167882,217,1899
874023671,217,1903
800489731,217,1904
142805273,217,1906
895587934,217,1907
801393452,217,1908
845728306,217,1910
139884948,217,1911
824546835,217,1915
135337133,217,1921
836916682,217,1927
834889479,217,1936
878981242,217,1937
846112093,217,1937
846063995,217,1940
836186365,217,1944
141998071,217,1944
794351439,217,1946
818619128,217,1947
860247952,217,1951
834887526,217,1953
823538114,217,1954
814769219,217,1954
844197684,217,1955
793368662,217,1955
863073058,217,1956
836884573,217,1963
822712381,217,1966
882689765,217,1970
831389149,217,1975
790923225,217,1975
793597621,217,1977
815683130,217,1981
829323349,217,1982
861386683,217,1983
143903428,217,1987
825425718,217,1993
883449846,217,2009
870172685,217,2017
851695244,217,2017
790940052,217,2026
865637197,217,2029
826887712,217,2029
801525835,217,2030
824920440,217,2033
851709608,217,2034
844439677,217,2046
840171485,217,2046
834429714,217,2047
873834851,217,2058
824891299,217,2062
863468984,217,2064
24176541,217,2066
839473265,217,2079
812201849,217,2081
142412787,217,2086
835824249,217,2090
140081521,217,2098
829014827,217,2100
851325648,217,2103
851942580,217,2106
139288566,217,2107
851944686,217,2110
845864156,217,2113
852101089,217,2114
829705359,217,2114
144370412,217,2117
23093304,217,2133
819631547,217,2134
856829050,217,2137
139929089,217,2137
824294981,217,2138
862974644,217,2143
886083514,217,2147
843160356,217,2161
983202391,217,2167
807792027,217,2173
812190692,217,2178
151768250,217,2178
143575604,217,2178
139182296,217,2179
823540068,217,2181
840490230,217,2182
829009584,217,2183
164037405,217,2185
836184172,217,2193
139285024,217,2194
138556388,217,2194
887348283,217,2198
815206265,217,2201
982266784,217,2211
887844696,217,2213
821300964,217,2222
825236095,217,2224
882551104,217,2235
801318738,217,2246
882714222,217,2250
138554137,217,2251
860972078,217,2252
833583531,217,2252
828458945,217,2252
854960418,217,2261
832443934,217,2261
801473079,217,2262
831391339,217,2263
832007804,217,2264
800478963,217,2264
793760264,217,2267
133553531,217,2276
801520172,217,2279
834877909,217,2280
797037502,217,2288
825366619,217,2295
815468080,217,2299
839764241,217,2318
859975918,217,2320
853457186,217,2321
821950807,217,2323
834491124,217,2324
818805312,217,2329
851727532,217,2331
824338403,217,2332
137426147,217,2343
862184946,217,2358
823567157,217,2365
823474357,217,2365
835744493,217,2366
140728802,217,2367
856114412,217,2372
