z_value,k_value,sep
870333965403,258,5355
801884984598,258,16997
832675840008,258,17229
804514843971,258,38883
818967266242,258,57276
908395521110,258,64495
808864483377,258,86846
149253900629,258,91968
800229323330,258,101281
827078292612,258,113156
846939935117,258,114087
911772136344,258,132714
827932438348,258,140397
818514050684,258,173691
809621399036,258,178581
895381581272,258,185798
800057428889,258,195578
149973569904,258,217697
831053747563,258,226079
813233520836,258,231434
835691450397,258,241213
823689322221,258,250758
798914794578,258,250991
149256629171,258,288478
145824505017,258,293133
994151504478,258,301283
845428909176,258,305241
823463613401,258,311061
843947396614,258,313390
880546778441,258,326196
831186685944,258,328292
801599896281,258,331085
882904966362,258,345288
852048419416,258,345288
832329988946,258,348780
137862536125,258,365777
878592378693,258,371365
834593090928,258,375788
858154930873,258,387896
818513652776,258,397908
833011118696,258,401400
845925236820,258,423519
818561379333,258,425847
889351238730,258,433996
802562009311,258,439584
829818444793,258,444241
849211320747,258,447501
852470389801,258,480795
23134624819,258,515953
801849020180,258,527594
829620933626,258,533183
827913664049,258,536209
823357128772,258,537373
808666645783,258,547152
828435001197,258,556931
865895053372,258,560889
892977664713,258,565313
852047844092,258,575324
138658176875,258,582310
845469380264,258,597210
832846299746,258,602798
868221393554,258,609085
808240761748,258,609085
809185925173,258,620959
912404690637,258,630040
143462185050,258,638887
149856832577,258,645407
818570127246,258,681728
809877751628,258,694069
813232825604,258,695232
832711271477,258,696163
809729558649,258,699190
845343218884,258,709435
149256917649,258,720145
865612954600,258,722939
920020542807,258,731088
810759496643,258,736443
848502578913,258,737142
865622790065,258,739005
838246991160,258,784872
852810048732,258,790460
800208426081,258,824919
836351308972,258,848202
137226288440,258,894303
854594543577,258,897795
134687133134,258,902451
823565658415,258,913861
145314875525,258,929460
868890106911,258,934350
856855452294,258,935979
141690542456,258,972534
831984182587,258,975794
890115812654,258,992324
859246054432,258,1020264
828629412223,258,1035165
868395019323,258,1035398
892680865247,258,1037726
895903851139,258,1041219
165148149245,258,1048669
833365754691,258,1053558
831052675844,258,1071719
802242296516,258,1085922
818267984549,258,1096400
133208002663,258,1108739
165382832289,258,1118984
849519432756,258,1119217
835510249017,258,1121080
894469429274,258,1124804
883646038594,258,1156703
852037558333,258,1163920
813259114046,258,1165085
841029706877,258,1169509
800188165391,258,1192326
897769830190,258,1200009
833009916824,258,1201872
866760767764,258,1208158
825283432380,258,1209322
894445256796,258,1222128
847931461409,258,1223060
836301434553,258,1223990
833605442429,258,1229812
840642600088,258,1236098
892681902973,258,1253328
834593466716,258,1279405
899588934845,258,1282664
139075290645,258,1285924
808166889009,258,1292443
809186546132,258,1311535
849534857786,258,1315726
822941789171,258,1368346
801868928597,258,1373002
809730257839,258,1399313
895357603441,258,1415377
833390476415,258,1439825
840643836186,258,1447042
836302658543,258,1451467
798352084356,258,1473585
823462139117,258,1474284
829058065545,258,1535984
143460635096,258,1549954
133179984522,258,1553446
823691871018,258,1582084
936476485571,258,1583947
807223982178,258,1588138
832846902544,258,1593959
993248424493,258,1606532
829881443643,258,1614447
149893719936,258,1618406
868393359473,258,1659850
896285920870,258,1660083
841773504857,258,1663575
806114672684,258,1672655
810978006339,258,1674285
845456050709,258,1704088
894313978265,258,1711538
142141012708,258,1726439
838355354732,258,1730863
803115217947,258,1731561
802429082338,258,1746463
809731657152,258,1771375
894552719314,258,1791865
832960290369,258,1810724
833706288366,258,1866371
849532986759,258,1871027
920962136472,258,1872890
799052934861,258,1881039
895240838873,258,1888023
859247074696,258,1906883
828627503012,258,1909211
136732282816,258,1938082
823355178349,258,1950423
831032013521,258,1976267
894320931286,258,1997920
807990903501,258,2012122
831806571689,258,2041226
912056234200,258,2054730
833241887158,258,2058223
140654822812,258,2063112
136722286232,258,2064975
149186779280,258,2074288
911770043662,258,2092682
828625400086,258,2102926
137221627404,258,2119923
868877845817,258,2120854
889154081699,258,2133893
800227174536,258,2148794
895798509708,258,2149260
803725353908,258,2152752
845453886083,258,2164626
137260319433,258,2166722
839962145547,258,2171146
851940772729,258,2189773
996104289778,258,2198154
895190543263,258,2248445
831972349436,258,2262881
141263833037,258,2280809
823689572979,258,2298039
855353115825,258,2304093
799050628208,258,2306653
892999206437,258,2328772
134610140231,258,2382789
137511554175,258,2397224
833288490540,258,2449145
920028003864,258,2476853
900244519581,258,2483604
845922747395,258,2489425
165167324944,258,2502697
137223747327,258,2541113
843883652008,258,2541579
847265610705,258,2546003
813260279131,258,2557179
809183314676,258,2610497
882737603970,258,2612127
889179263032,258,2619112
149253992597,258,2636574
868218739983,258,2653571
919960871339,258,2660556
893495681463,258,2669869
879113096977,258,2703862
874554182869,258,2707588
831965097692,258,2707821
834128560033,258,2713409
893178227591,258,2742046
846918729833,258,2755783
830724439119,258,2770684
832843524870,258,2774876
149032790447,258,2779532
798915045569,258,2792105
847595605068,258,2795831
840946008685,258,2814689
900345340604,258,2818415
852387121413,258,2829358
142142739147,258,2830057
138461436146,258,2836110
864215758397,258,2851942
830103501678,258,2853107
868201722624,258,2853805
142138153548,258,2859160
865248860093,258,2876623
920017660363,258,2882444
894466544036,258,2885238
23135140772,258,2888729
920149158454,258,2890825
808682021453,258,2899905
871882566950,258,2940651
895120840520,258,2944144
850461150287,258,2960908
855762480759,258,2966961
870087753051,258,2996996
804511797382,258,3046589
881928809220,258,3058231
142145569204,258,3104564
864943131572,258,3120164
865424214630,258,3176043
879115800839,258,3240304
143348037731,258,3265450
833703017794,258,3270572
829355163267,258,3271969
828452809481,258,3274065
868185019820,258,3288034
141956783366,258,3297115
866761975922,258,3302936
905861267355,258,3322959
852578878403,258,3352529
831357576885,258,3354391
842068623752,258,3363006
852379029617,258,3363705
833345345688,258,3372784
149865829386,258,3399561
904321495677,258,3428664
823078921764,258,3432855
827501373599,258,3435183
847836983158,258,3435649
831478620880,258,3435649
830851014937,258,3445195
870143351611,258,3449386
833781163674,258,3450318
137262486155,258,3451481
830720983446,258,3455673
829025667860,258,3459630
800204941072,258,3485009
891482751817,258,3538793
893505098299,258,3552530
892683156301,258,3567897
852866942063,258,3599795
993244824233,258,3600260
828386735404,258,3646361
865724681411,258,3660098
993250031025,258,3665918
144882621011,258,3675465
896840539761,258,3682450
897359271069,258,3696419
860650783172,258,3743684
920166586992,258,3763707
825279647252,258,3785128
895237043500,258,3795373
994964823593,258,3844034
829021794722,258,3873138
825070434250,258,3882219
141998257489,258,3898516
854687794112,258,3900146
818307930138,258,3914815
896568610101,258,3936234
920170350699,258,3938796
834724329180,258,3954395
806015128969,258,3979075
846969798673,258,4021684
144533218118,258,4029600
852901699255,258,4067784
831636715681,258,4086876
912400584901,258,4105736
134683019249,258,4113885
144035082777,258,4116213
830187333283,258,4184199
150689101313,258,4186062
922177733621,258,4233094
850464111195,258,4248460
801876307000,258,4292466
138803487178,258,4312024
810760233086,258,4314585
860715862830,258,4334142
829877101817,258,4341826
868230293971,258,4348112
919916953659,258,4367205
801880599466,258,4385132
865618395154,258,4394911
831857451937,258,4415400
141144473572,258,4427507
853064732859,258,4435191
895771659446,258,4444038
804931430845,258,4479429
850695878966,258,4483154
841806494399,258,4496891
833492317237,258,4500384
911790771410,258,4502945
870333970758,258,4520872
831967805513,258,4543923
865720126080,258,4555331
833366808249,258,4569302
992497317726,258,4600501
138886883157,258,4611211
900693665492,258,4613073
23109688890,258,4616100
897802979919,258,4624715
840655952460,258,4637753
845823529177,258,4647067
844244128094,258,4656380
827958413866,258,4690839
865613677539,258,4717615
852382393322,258,4728091
144510191633,258,4759757
808745059651,258,4772562
828381956323,258,4779081
138956735144,258,4814705
23114304990,258,4832167
895050640684,258,4833797
808684921358,258,4886417
165523804259,258,4898058
133175078314,258,4906208
801780793351,258,4942296
829813488527,258,4956266
894428299973,258,4968606
825065465412,258,4968838
833510404453,258,5003298
895808846923,258,5006092
995242107893,258,5011214
903638647870,258,5040318
834123496898,258,5063135
813227756648,258,5068956
829615857918,258,5075708
149944082601,258,5076407
895123784664,258,5083391
846921485616,258,5085487
847932684469,258,5092471
895703057293,258,5100156
833283386659,258,5103881
888958582422,258,5109934
900688542054,258,5123438
899404179771,258,5123671
869020435494,258,5139969
3851134331,258,5163950
138961549849,258,5194451
895152731101,258,5202833
897564221174,258,5213544
895898636664,258,5214475
894440019271,258,5237525
833290939685,258,5239621
894315689803,258,5241483
841801247560,258,5246839
827753575286,258,5258015
936448382214,258,5285721
920161301271,258,5285721
897569434718,258,5288981
813262836310,258,5339039
808697781293,258,5347654
872246677289,258,5369075
823349807179,258,5371170
893167103641,258,5439623
865623529070,258,5444511
850455685519,258,5464768
144909973490,258,5469424
884918105323,258,5477108
843422857812,258,5499693
800209251000,258,5501555
847823932302,258,5511800
805382353487,258,5512731
856310209726,258,5518551
867057420547,258,5520880
867125143763,258,5527400
832755139331,258,5534151
829452830134,258,5534385
868234642083,258,5544629
141157349572,258,5545560
833306892310,258,5614012
828053414589,258,5629380
818555746228,258,5633105
825284641702,258,5639624
854625091423,258,5654991
872241002275,258,5675014
893172543264,258,5684327
138787181583,258,5709706
818570808974,258,5734618
833644071362,258,5754875
828299005051,258,5840789
140719201183,258,5856855
865131855477,258,5858485
834101389396,258,5866168
871619282757,258,5889218
896027509589,258,5922746
852389950771,258,5939743
804925486679,258,5944166
848154584412,258,5945796
832887275378,258,5960231
149128661259,258,5992362
912488230505,258,5993992
836286213482,258,5998183
801870301599,258,6005401
827008621535,258,6009359
836280151969,258,6061513
919930565870,258,6065937
137254240457,258,6078976
868387278636,258,6080837
809187857667,258,6108778
849115767051,258,6123912
823559526820,258,6131595
990978642367,258,6155344
897777331993,258,6172807
850942629856,258,6193062
992748118938,258,6220536
888963692356,258,6223564
829051811016,258,6254529
811221377925,258,6260117
844894075301,258,6262912
867490830133,258,6268267
897771030199,258,6301794
141824289691,258,6307848
136862885673,258,6309245
865713784006,258,6342074
831053973642,258,6344169
850756120636,258,6403308
823274839670,258,6422400
855371252634,258,6423798
144459855976,258,6450340
839821601753,258,6454996
882905311650,258,6476185
868649307872,258,6499933
922189526260,258,6500632
805387866218,258,6534159
930875935825,258,6569084
843503040961,258,6569316
833637476201,258,6595161
149966968690,258,6601214
823552889983,258,6636837
141257191077,258,6641960
831630072324,258,6643357
836273474619,258,6677350
808749832213,258,6728806
920021273895,258,6729969
893498351332,258,6746967
894433268579,258,6750692
825345114340,258,6775139
871853317600,258,6776769
165160475299,258,6849645
994359541918,258,6894115
889147181297,258,6900402
811193762115,258,6917398
992380047218,258,6966292
831136539812,258,6979797
810979680624,258,6980962
810048765038,258,7014721
896572546335,258,7068506
871860094369,258,7075258
810752418824,258,7077819
865605820204,258,7134396
930882504909,258,7135095
827423062875,258,7139518
920701004100,258,7154420
859238886042,258,7168390
823463924462,258,7183059
133852910949,258,7189811
879364358727,258,7193070
846911508590,258,7221243
803694814211,258,7258728
804553501076,258,7266411
829103546683,258,7273164
804862775375,258,7273629
824985721382,258,7276889
865217862884,258,7287832
897932122462,258,7289695
911783422344,258,7349066
852333789226,258,7349998
801592518576,258,7377705
138891494368,258,7382361
847924063681,258,7397728
844436728396,258,7401686
838173374534,258,7417752
144707696979,258,7421243
827612250345,258,7441268
873051973992,258,7486436
137399849250,258,7500639
900698278565,258,7510186
833358230768,258,7523923
903944546823,258,7533701
833253023215,258,7534400
847829444102,258,7539056
922181966715,258,7559545
138477620669,258,7594237
818269080949,258,7599359
23161205231,258,7617054
867197681685,258,7617985
920975725400,258,7623341
845866330900,258,7631257
137503910345,258,7643830
834367368836,258,7686671
990984797711,258,7720199
892829708756,258,7723690
869947934058,258,7731607
843606725568,258,7736264
852005078225,258,7740222
885030324571,258,7756753
827847848880,258,7762573
803107451881,258,7766066
807216170244,258,7811934
930633366341,258,7818686
829818889034,258,7835216
144258785993,258,7837545
829883058090,258,7864321
823544960237,258,7929746
136724351207,258,7931609
805004081689,258,7961411
833382508485,258,7967930
808689807775,258,7973518
809869754361,258,7997267
809590982972,258,8009142
832879260881,258,8014497
137854480418,258,8055707
802243382438,258,8086441
991063235328,258,8139527
833629321773,258,8154428
895055474481,258,8170726
895800658968,258,8187955
825040131342,258,8259667
868222002639,258,8291332
151947696927,258,8303206
818561805180,258,8322066
846070766682,258,8336967
149857477984,258,8351402
798917837674,258,8362579
134472254199,258,8364208
824977337383,258,8383999
824968949659,258,8387724
141148901079,258,8448493
995924437652,258,8474570
881920222426,258,8586794
866049564444,258,8588657
136854269309,258,8616364
838247776032,258,8619623
832667195239,258,8644769
992371392204,258,8655014
827115564608,258,8658040
892837432446,258,8664094
138948067092,258,8668052
833336660872,258,8684816
825270951028,258,8696224
856846701354,258,8750940
898766730913,258,8768867
141691514990,258,8784933
872232155875,258,8846400
833391916240,258,8855015
995166179259,258,8891336
149134653621,258,8893898
808644739213,258,8898089
854568052805,258,8911127
139539765427,258,8912757
890595216305,258,8927425
835544825299,258,8959323
865137713962,258,9027542
23138029501,258,9038253
802731219680,258,9047100
833243945381,258,9077834
823000397999,258,9089476
866751673399,258,9094365
852038722253,258,9121839
827838726109,258,9122771
808756561019,258,9140698
833693861263,258,9156531
809821828502,258,9186100
