z_value,k_value
196777124657,217
173145329813,217
35463341512,217
176092694048,217
32301244094,217
175064780517,217
175399495755,217
181121095084,217
30927042245,217
177110444522,217
175064918120,217
176276146202,217
196932112566,217
182925972855,217
188270735555,217
177259576740,217
196940138238,217
185878382763,217
171415020712,217
5463785492,217
182940329658,217
182187034982,217
212983638049,217
177827194799,217
190932967235,217
171098377556,217
193143650657,217
170858102618,217
177071735962,217
211812539259,217
180398674449,217
188305829419,217
177863708698,217
177857985022,217
29992177384,217
29692995828,217
4808612168,217
173424450914,217
28563298053,217
31351305778,217
185641521588,217
212765835925,217
178814609536,217
213286244544,217
181411412778,217
181727015880,217
193679105491,217
175966025796,217
30377920252,217
176491285675,217
186417992460,217
29338570545,217
170914193150,217
183992363979,217
213537115604,217
196935870452,217
178292395780,217
170810199110,217
177011889639,217
171668953496,217
177428058349,217
191485503689,217
31971944729,217
179533730727,217
196722319816,217
29693861492,217
213568998734,217
182906579925,217
181088183541,217
31450133073,217
183006778593,217
212657891913,217
180814056192,217
212647999637,217
177719065454,217
193767993711,217
178110440495,217
29679888161,217
31770553208,217
174846668263,217
180912978249,217
173431485426,217
175104922150,217
186418185011,217
180411283393,217
177946434357,217
191430933541,217
182805259713,217
185021906859,217
178748235805,217
29518588214,217
177402550355,217
28482774972,217
185685933801,217
173252247507,217
178156647599,217
172573584598,217
173054193380,217
30441790121,217
176800323651,217
212828116492,217
31963931863,217
177597959992,217
212932705647,217
5149818026,217
191186595243,217
177992942045,217
172112658388,217
182392822812,217
191415756941,217
177879923722,217
5890382920,217
173108154443,217
172107089079,217
171407465358,217
30657663709,217
171451386996,217
191857689526,217
171559167328,217
185085614445,217
191568378127,217
31473819865,217
212231055601,217
172574143624,217
29571560678,217
176608583658,217
178290330573,217
195207346464,217
193744871300,217
193041557214,217
192233092385,217
180147205247,217
191395581700,217
32103818376,217
180266192882,217
175985496725,217
177688977449,217
173107242212,217
29702681350,217
212049297058,217
4765889142,217
29697116232,217
180556076812,217
192278858508,217
185646484839,217
194011103828,217
179545891472,217
180654347409,217
211989324540,217
172990662512,217
31898891787,217
174837383908,217
173013614724,217
188646652271,217
172681441065,217
212159145857,217
