z_value,k_value,sep
999946646393,258,NA
998897484039,258,1049162354
998856629245,258,40854794
998708666536,258,147962709
996803010814,258,1905655722
996573244222,258,229766592
996454672190,258,118572032
996106487932,258,348184258
996104289778,258,2198154
996006865055,258,97424723
995932912222,258,73952833
995924437652,258,8474570
995862319135,258,62118517
995852979133,258,9340002
995759303915,258,93675218
995712947101,258,46356814
995656549465,258,56397636
995630863589,258,25685876
995607106016,258,23757573
995402555215,258,204550801
995364307892,258,38247323
995265398175,258,98909717
995247119107,258,18279068
995242107893,258,5011214
995206121821,258,35986072
995193967131,258,12154690
995175070595,258,18896536
995166179259,258,8891336
995137261460,258,28917799
995122893248,258,14368212
994998674142,258,124219106
994984767866,258,13906276
994968667627,258,16100239
994964823593,258,3844034
994938665070,258,26158523
994778789813,258,159875257
994637702592,258,141087221
994600228034,258,37474558
994519602508,258,80625526
994505102048,258,14500460
994366436033,258,138666015
994359541918,258,6894115
994333434850,258,26107068
994311782532,258,21652318
994265127695,258,46654837
994246159681,258,18968014
994169657585,258,76502096
994151805761,258,17851824
994151504478,258,301283
994060106576,258,91397902
993726815563,258,333291013
993689770811,258,37044752
993541836739,258,147934072
993434224511,258,107612228
993296420668,258,137803843
993263766403,258,32654265
993253696943,258,10069460
993250031025,258,3665918
993248424493,258,1606532
993244824233,258,3600260
993179054698,258,65769535
993060006761,258,119047937
992863727036,258,196279725
992754339474,258,109387562
992748118938,258,6220536
992558674654,258,189444284
992530409014,258,28265640
992501918227,258,28490787
992497317726,258,4600501
992485220079,258,12097647
992450755789,258,34464290
992427233374,258,23522415
992387013510,258,40219864
992380047218,258,6966292
992371392204,258,8655014
992361027515,258,10364689
992339668563,258,21358952
992294134573,258,45533990
992271088297,258,23046276
992256227881,258,14860416
992227344541,258,28883340
992197231157,258,30113384
992097682087,258,99549070
992041600636,258,56081451
991980615538,258,60985098
991961821449,258,18794089
991950846743,258,10974706
991940611974,258,10234769
991904593306,258,36018668
991895257729,258,9335577
991769382963,258,125874766
991755365162,258,14017801
991485410138,258,269955024
991440742510,258,44667628
991252991837,258,187750673
991200979334,258,52012503
991095384816,258,105594518
991071374855,258,24009961
991063235328,258,8139527
991016471060,258,46764268
990992517910,258,23953150
990984797711,258,7720199
990978642367,258,6155344
990961476462,258,17165905
990883286344,258,78190118
990819467931,258,63818413
990775859682,258,43608249
990712884348,258,62975334
990629726789,258,83157559
990561354207,258,68372582
990546365735,258,14988472
990522515262,258,23850473
990479109111,258,43406151
990390385734,258,88723377
990211211378,258,179174356
990131134633,258,80076745
990021180828,258,109953805
989998796955,258,22383873
989977392601,258,21404354
936818264192,258,53159128409
936689424562,258,128839630
936478069518,258,211355044
936476485571,258,1583947
936453667935,258,22817636
936448382214,258,5285721
936434360222,258,14021992
936404220528,258,30139694
936361788540,258,42431988
931437857217,258,4923931323
931382133626,258,55723591
931348001585,258,34132041
931057946757,258,290054828
930889640004,258,168306753
930882504909,258,7135095
930875935825,258,6569084
930774261710,258,101674115
930733204121,258,41057589
930711226305,258,21977816
930641185027,258,70041278
930633366341,258,7818686
922196026892,258,8437339449
922189526260,258,6500632
922181966715,258,7559545
922177733621,258,4233094
922019805993,258,157927628
921912415419,258,107390574
921881758376,258,30657043
921027469915,258,854288461
920995068970,258,32400945
920983348741,258,11720229
920975725400,258,7623341
920964009362,258,11716038
920962136472,258,1872890
920946556377,258,15580095
920929617016,258,16939361
920894077048,258,35539968
920708158520,258,185918528
920701004100,258,7154420
920628395631,258,72608469
920485740528,258,142655103
920375435846,258,110304682
920268631541,258,106804305
920249574353,258,19057188
920218941756,258,30632597
920174289495,258,44652261
920170350699,258,3938796
920166586992,258,3763707
920161301271,258,5285721
920152049279,258,9251992
920149158454,258,2890825
920133937384,258,15221070
920082159807,258,51777577
920030480717,258,51679090
920028003864,258,2476853
920021273895,258,6729969
920020542807,258,731088
920017660363,258,2882444
919995998266,258,21662097
919972886332,258,23111934
919963531895,258,9354437
919960871339,258,2660556
919936631807,258,24239532
919930565870,258,6065937
919921320864,258,9245006
919916953659,258,4367205
919902805239,258,14148420
914030759596,258,5872045643
913613605546,258,417154050
913599470398,258,14135148
913562762552,258,36707846
912968327990,258,594434562
912772273180,258,196054810
912508438342,258,263834838
912494224497,258,14213845
912488230505,258,5993992
912405320677,258,82909828
912404690637,258,630040
912400584901,258,4105736
912274111528,258,126473373
912263148232,258,10963296
912198867649,258,64280583
912166600349,258,32267300
912125217030,258,41383319
912058288930,258,66928100
912056234200,258,2054730
912031816319,258,24417881
911795274355,258,236541964
911790771410,258,4502945
911783422344,258,7349066
911772269058,258,11153286
911772136344,258,132714
911770043662,258,2092682
911663792562,258,106251100
911630386953,258,33405609
909539427842,258,2090959111
909492051695,258,47376147
909444233170,258,47818525
909369839356,258,74393814
908395585605,258,974253751
908395521110,258,64495
908339785180,258,55735930
907394362381,258,945422799
907352336916,258,42025465
907262190246,258,90146670
906936441549,258,325748697
906784438994,258,152002555
906526947395,258,257491599
906502614497,258,24332898
906491859817,258,10754680
906438752311,258,53107506
906397607876,258,41144435
906297081849,258,100526027
905864590314,258,432491535
905861267355,258,3322959
904780598591,258,1080668764
904745623470,258,34975121
904324924341,258,420699129
904321495677,258,3428664
903977064416,258,344431261
903952080524,258,24983892
903944546823,258,7533701
903918666766,258,25880057
903767474462,258,151192304
903756979621,258,10494841
903655216098,258,101763523
903643688188,258,11527910
903638647870,258,5040318
903547790368,258,90857502
903342120816,258,205669552
903019845253,258,322275563
902998494451,258,21350802
902950464981,258,48029470
902815626469,258,134838512
902728705900,258,86920569
902330331039,258,398374861
902036798187,258,293532852
901458186564,258,578611623
901180720889,258,277465675
900787782157,258,392938732
900705788751,258,81993406
900698278565,258,7510186
900693665492,258,4613073
900688542054,258,5123438
900671340293,258,17201761
900446884800,258,224455493
900434838143,258,12046657
900348159019,258,86679124
900345340604,258,2818415
900275218301,258,70122303
900247003185,258,28215116
900244519581,258,2483604
900182038546,258,62481035
900073453552,258,108584994
900057834341,258,15619211
900038862834,258,18971507
900001952658,258,36910176
899907869287,258,94083371
899829858915,258,78010372
899802359753,258,27499162
899752136320,258,50223433
899730720092,258,21416228
899713819149,258,16900943
899698347319,258,15471830
899590217509,258,108129810
899588934845,258,1282664
899570793380,258,18141465
899514661637,258,56131743
899451233447,258,63428190
899433242856,258,17990591
899409303442,258,23939414
899404179771,258,5123671
899339320371,258,64859400
899307696149,258,31624222
899280784885,258,26911264
899218332023,258,62452862
899139624788,258,78707235
899122863077,258,16761711
899022091879,258,100771198
899007988628,258,14103251
898775499780,258,232488848
898766730913,258,8768867
898717595265,258,49135648
898692795076,258,24800189
898659997387,258,32797689
898264679593,258,395317794
898223865545,258,40814048
898159046658,258,64818887
898036087165,258,122959493
897939412157,258,96675008
897932122462,258,7289695
897873308510,258,58813952
897826328641,258,46979869
897807604634,258,18724007
897802979919,258,4624715
897783504800,258,19475119
897777331993,258,6172807
897771030199,258,6301794
897769830190,258,1200009
897574723699,258,195106491
897569434718,258,5288981
897564221174,258,5213544
897532201605,258,32019569
897442827467,258,89374138
897362967488,258,79859979
897359271069,258,3696419
897349558771,258,9712298
897220442771,258,129116000
897095319583,258,125123188
897009135923,258,86183660
896931023803,258,78112120
896898608422,258,32415381
896886733361,258,11875061
896844222211,258,42511150
896840539761,258,3682450
896595323226,258,245216535
896579614841,258,15708385
896572546335,258,7068506
896568610101,258,3936234
896511378699,258,57231402
896483557299,258,27821400
896425052081,258,58505218
896303495626,258,121556455
896287580953,258,15914673
896285920870,258,1660083
896275347798,258,10573072
896232931410,258,42416388
896147747757,258,85183653
896114570788,258,33176969
896033432335,258,81138453
896027509589,258,5922746
895989257610,258,38251979
895904892358,258,84365252
895903851139,258,1041219
895898636664,258,5214475
895830562804,258,68073860
895813853015,258,16709789
895808846923,258,5006092
895800658968,258,8187955
895798509708,258,2149260
895776103484,258,22406224
895771659446,258,4444038
895708157449,258,63501997
895703057293,258,5100156
895683825249,258,19232044
895661969670,258,21855579
895611706889,258,50262781
895596040646,258,15666243
895542254905,258,53785741
895522629377,258,19625528
895485517104,258,37112273
895454294049,258,31223055
895408194280,258,46099769
895381767070,258,26427210
895381581272,258,185798
895372224274,258,9356998
895359018818,258,13205456
895357603441,258,1415377
895301926882,258,55676559
895283198916,258,18727966
895242726896,258,40472020
895240838873,258,1888023
895237043500,258,3795373
895218992606,258,18050894
895208807895,258,10184711
895192791708,258,16016187
895190543263,258,2248445
895157933934,258,32609329
895152731101,258,5202833
895128868055,258,23863046
895123784664,258,5083391
895120840520,258,2944144
895063645207,258,57195313
895055474481,258,8170726
895050640684,258,4833797
895029366483,258,21274201
894986568951,258,42797532
894952399191,258,34169760
894775807160,258,176592031
894759423333,258,16383827
894712316338,258,47106995
894668242196,258,44074142
894591099350,258,77142846
894567694981,258,23404369
894554511179,258,13183802
894552719314,258,1791865
894491287880,258,61431434
894480004907,258,11282973
894470554078,258,9450829
894469429274,258,1124804
894466544036,258,2885238
894446478924,258,20065112
894445256796,258,1222128
894440019271,258,5237525
894433268579,258,6750692
894428299973,258,4968606
894413229777,258,15070196
894350794144,258,62435633
894322929206,258,27864938
894320931286,258,1997920
894315689803,258,5241483
894313978265,258,1711538
894287506119,258,26472146
894274219871,258,13286248
894247918157,258,26301714
894233555766,258,14362391
894209554885,258,24000881
894161282108,258,48272777
894107437460,258,53844648
894065825269,258,41612191
893988799537,258,77025732
893712492427,258,276307110
893508650829,258,203841598
893505098299,258,3552530
893498351332,258,6746967
893495681463,258,2669869
893438801403,258,56880060
893396917265,258,41884138
893346626079,258,50291186
893241478364,258,105147715
893228732516,258,12745848
893180969637,258,47762879
893178227591,258,2742046
893172543264,258,5684327
893167103641,258,5439623
893001535209,258,165568432
892999206437,258,2328772
892988123699,258,11082738
892978230026,258,9893673
892977664713,258,565313
892868740252,258,108924461
892846096540,258,22643712
892837432446,258,8664094
892829708756,258,7723690
892726653256,258,103055500
892686724198,258,39929058
892683156301,258,3567897
892681902973,258,1253328
892680865247,258,1037726
892660023179,258,20842068
892462905497,258,197117682
892437184696,258,25720801
892255424290,258,181760406
892032445176,258,222979114
891742663458,258,289781718
891697769985,258,44893473
891665499891,258,32270094
891507254914,258,158244977
891486290610,258,20964304
891482751817,258,3538793
890624307329,258,858444488
890604143730,258,20163599
890595216305,258,8927425
890128822532,258,466393773
890116804978,258,12017554
890115812654,258,992324
890072781826,258,43030828
889510584763,258,562197063
889351672726,258,158912037
889351238730,258,433996
889282074059,258,69164671
889251388144,258,30685915
889239102137,258,12286007
