V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
29,28,27,18,60,96,33,44,23,24
12,33,68,47,57,26,86,47,23,85
50,59,118,46,97,55,103,55,69,134
22,33,28,57,13,117,36,94,69,17
70,119,23,40,26,50,55,51,98,39
99,22,25,84,50,87,120,85,113,145
111,33,110,21,29,124,105,38,27,96
109,117,60,42,135,53,43,119,33,26
94,143,91,16,116,15,89,40,37,44
16,24,29,68,171,130,10,0,47,52
148,115,91,17,29,88,31,124,18,145
46,130,31,50,10,101,122,143,31,29
130,113,34,100,29,31,16,44,22,38
86,19,15,34,25,99,108,122,49,97
115,20,34,33,52,34,48,120,128,122
47,98,122,24,50,107,21,29,32,34
50,148,104,21,101,35,36,17,47,49
47,44,127,101,23,42,17,32,23,39
96,84,73,28,47,4,62,16,174,143
29,89,114,36,14,86,17,35,57,47
15,15,29,132,30,10,28,121,34,32
97,16,21,11,131,55,33,55,31,143
74,55,47,18,135,91,118,119,15,10
47,24,52,127,96,34,65,26,24,153
85,55,37,96,16,31,21,41,130,113
114,28,12,43,34,113,122,104,93,36
18,73,54,34,104,95,117,91,75,20
21,83,106,36,130,25,67,22,34,27
106,47,124,135,119,60,50,37,44,30
42,27,132,19,37,99,22,117,27,21
113,121,91,108,60,16,31,28,23,48
132,54,49,20,103,13,21,45,47,39
101,21,96,119,135,91,122,36,29,14
29,37,111,26,6,25,54,37,46,131
34,124,124,62,51,153,25,27,31,130
50,42,12,15,171,37,18,70,55,98
113,82,16,41,31,135,82,70,99,54
36,13,41,42,20,106,26,15,21,143
118,132,31,130,61,87,34,21,29,27
37,127,65,87,148,42,44,116,148,50
111,52,30,46,109,49,33,18,8,122
24,27,44,72,46,52,71,127,28,12
33,26,120,108,29,28,109,37,53,86
24,23,28,121,18,60,34,36,17,26
27,128,31,39,28,108,113,18,27,90
130,36,16,3,37,29,127,17,24,73
36,10,43,91,34,23,109,37,15,117
67,33,116,130,148,109,47,70,37,25
55,29,38,130,119,28,44,20,96,31
102,109,46,28,42,54,44,106,48,96
26,24,26,16,34,55,96,30,11,52
148,24,50,114,21,62,29,85,32,42
114,80,49,12,42,39,123,33,101,35
26,47,30,104,105,108,108,40,101,55
130,31,117,24,132,16,13,39,108,24
97,53,6,121,46,29,21,108,31,16
62,21,72,107,36,117,13,37,30,42
148,50,25,67,55,24,96,119,44,28
107,97,33,37,61,106,34,29,112,30
57,60,36,44,62,75,124,5,34,117
15,39,16,21,42,103,39,39,41,129
30,15,29,115,12,106,49,127,29,26
3,91,35,20,26,55,37,117,111,6
16,29,44,82,49,6,37,121,113,114
52,50,127,37,31,53,57,19,47,54
17,29,24,39,124,50,34,114,135,23
37,34,89,43,121,93,114,28,33,55
35,121,109,98,41,28,36,65,50,50
118,93,16,17,37,29,16,16,39,18
36,135,46,111,15,55,96,44,68,15
41,121,15,142,20,31,39,23,25,33
40,70,30,28,106,110,47,113,113,39
57,132,55,24,42,100,114,16,44,34
135,20,32,31,134,33,46,145,10,110
22,52,66,88,39,49,88,34,39,130
75,111,122,39,44,28,111,48,49,47
21,135,50,12,26,17,113,21,39,96
29,19,47,85,34,13,121,17,54,56
55,13,94,127,122,70,60,174,102,20
89,10,109,17,11,50,124,34,112,14
112,90,26,99,104,112,54,12,34,31
47,134,17,96,29,26,65,130,21,23
110,109,36,105,20,14,123,21,36,21
25,82,25,32,140,3,65,39,26,55
29,55,26,99,144,87,114,129,108,52
122,65,111,62,34,20,91,18,30,42
28,24,26,52,83,29,7,50,34,124
17,26,89,101,25,21,26,93,27,19
50,28,52,46,122,32,113,98,53,54
16,114,42,20,17,135,12,50,15,48
127,64,113,37,32,24,28,117,24,31
44,31,19,153,39,40,132,65,117,73
47,60,34,20,124,57,97,86,25,16
27,17,25,28,36,91,21,30,18,69
24,24,17,99,117,46,90,8,46,65
66,29,24,14,31,55,122,117,18,26
8,27,20,19,70,39,0,21,37,34
57,85,120,122,124,24,44,50,54,47
21,22,37,39,95,110,99,23,25,29
122,114,41,30,127,28,29,79,38,21
