V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,8,89,987,10946,121393,1346269,14930352,165580141,1836311903
1,13,144,1597,17711,196418,2178309,24157817,267914296,2971215073
2,21,233,2584,28657,317811,3524578,39088169,433494437,4807526976
3,34,377,4181,46368,514229,5702887,63245986,701408733,7778742049
5,55,610,6765,75025,832040,9227465,102334155,1134903170,12586269025
