original_number,capture_iteration,capture_state,capture_number
2584,35,EVEN,334
2584,36,ODD,167
2584,37,EVEN,502
2584,38,ODD,251
2584,39,EVEN,754
2584,40,ODD,377
2584,41,EVEN,1132
2584,42,EVEN,566
2584,43,ODD,283
2584,44,EVEN,850
2584,45,ODD,425
2584,46,EVEN,1276
2584,47,EVEN,638
2584,48,ODD,319
2584,49,EVEN,958
2584,50,ODD,479
2584,51,EVEN,1438
2584,52,ODD,719
2584,53,EVEN,2158
2584,54,ODD,1079
2584,55,EVEN,3238
2584,56,ODD,1619
2584,57,EVEN,4858
2584,58,ODD,2429
2584,59,EVEN,7288
2584,60,EVEN,3644
2584,61,EVEN,1822
2584,62,ODD,911
2584,63,EVEN,2734
2584,64,ODD,1367
2584,65,EVEN,4102
2584,66,ODD,2051
2584,67,EVEN,6154
2584,68,ODD,3077
2584,69,EVEN,9232
2584,70,EVEN,4616
2584,71,EVEN,2308
2584,72,EVEN,1154
2584,73,ODD,577
2584,74,EVEN,1732
2584,75,EVEN,866
2584,76,ODD,433
2584,77,EVEN,1300
2584,78,EVEN,650
2584,79,ODD,325
2584,80,EVEN,976
2584,81,EVEN,488
2584,82,EVEN,244
2584,83,EVEN,122
2584,84,ODD,61
2584,85,EVEN,184
2584,86,EVEN,92
2584,87,EVEN,46
2584,88,ODD,23
2584,89,EVEN,70
2584,90,ODD,35
2584,91,EVEN,106
2584,92,ODD,53
2584,93,EVEN,160
2584,94,EVEN,80
2584,95,EVEN,40
2584,96,EVEN,20
2584,97,EVEN,10
2584,98,ODD,5
2584,99,EVEN,16
2584,100,EVEN,8
2584,101,EVEN,4
2584,102,EVEN,2
2584,103,END,1
75025,1,ODD,75025
75025,2,EVEN,225076
75025,3,EVEN,112538
75025,4,ODD,56269
75025,5,EVEN,168808
75025,6,EVEN,84404
75025,7,EVEN,42202
75025,8,ODD,21101
75025,9,EVEN,63304
75025,10,EVEN,31652
75025,11,EVEN,15826
75025,12,ODD,7913
75025,13,EVEN,23740
75025,14,EVEN,11870
75025,15,ODD,5935
75025,16,EVEN,17806
75025,17,ODD,8903
75025,18,EVEN,26710
75025,19,ODD,13355
75025,20,EVEN,40066
75025,21,ODD,20033
75025,22,EVEN,60100
75025,23,EVEN,30050
75025,24,ODD,15025
75025,25,EVEN,45076
75025,26,EVEN,22538
75025,27,ODD,11269
75025,28,EVEN,33808
75025,29,EVEN,16904
75025,30,EVEN,8452
75025,31,EVEN,4226
75025,32,ODD,2113
75025,33,EVEN,6340
75025,34,EVEN,3170
75025,35,ODD,1585
75025,36,EVEN,4756
75025,37,EVEN,2378
75025,38,ODD,1189
75025,39,EVEN,3568
75025,40,EVEN,1784
75025,41,EVEN,892
75025,42,EVEN,446
75025,43,ODD,223
75025,44,EVEN,670
75025,45,ODD,335
75025,46,EVEN,1006
75025,47,ODD,503
75025,48,EVEN,1510
75025,49,ODD,755
75025,50,EVEN,2266
75025,51,ODD,1133
75025,52,EVEN,3400
75025,53,EVEN,1700
75025,54,EVEN,850
75025,55,ODD,425
75025,56,EVEN,1276
75025,57,EVEN,638
75025,58,ODD,319
75025,59,EVEN,958
75025,60,ODD,479
75025,61,EVEN,1438
75025,62,ODD,719
75025,63,EVEN,2158
75025,64,ODD,1079
75025,65,EVEN,3238
75025,66,ODD,1619
75025,67,EVEN,4858
75025,68,ODD,2429
75025,69,EVEN,7288
75025,70,EVEN,3644
75025,71,EVEN,1822
75025,72,ODD,911
75025,73,EVEN,2734
75025,74,ODD,1367
75025,75,EVEN,4102
75025,76,ODD,2051
75025,77,EVEN,6154
75025,78,ODD,3077
75025,79,EVEN,9232
75025,80,EVEN,4616
75025,81,EVEN,2308
75025,82,EVEN,1154
75025,83,ODD,577
75025,84,EVEN,1732
75025,85,EVEN,866
75025,86,ODD,433
75025,87,EVEN,1300
75025,88,EVEN,650
75025,89,ODD,325
75025,90,EVEN,976
75025,91,EVEN,488
75025,92,EVEN,244
75025,93,EVEN,122
75025,94,ODD,61
75025,95,EVEN,184
75025,96,EVEN,92
75025,97,EVEN,46
75025,98,ODD,23
75025,99,EVEN,70
75025,100,ODD,35
75025,101,EVEN,106
75025,102,ODD,53
75025,103,EVEN,160
75025,104,EVEN,80
75025,105,EVEN,40
75025,106,EVEN,20
75025,107,EVEN,10
75025,108,ODD,5
75025,109,EVEN,16
75025,110,EVEN,8
75025,111,EVEN,4
75025,112,EVEN,2
75025,113,END,1
514229,1,ODD,514229
514229,2,EVEN,1542688
514229,3,EVEN,771344
514229,4,EVEN,385672
514229,5,EVEN,192836
514229,6,EVEN,96418
514229,7,ODD,48209
514229,8,EVEN,144628
514229,9,EVEN,72314
514229,10,ODD,36157
514229,11,EVEN,108472
514229,12,EVEN,54236
514229,13,EVEN,27118
514229,14,ODD,13559
514229,15,EVEN,40678
514229,16,ODD,20339
514229,17,EVEN,61018
514229,18,ODD,30509
514229,19,EVEN,91528
514229,20,EVEN,45764
514229,21,EVEN,22882
514229,22,ODD,11441
514229,23,EVEN,34324
514229,24,EVEN,17162
514229,25,ODD,8581
514229,26,EVEN,25744
514229,27,EVEN,12872
514229,28,EVEN,6436
514229,29,EVEN,3218
514229,30,ODD,1609
514229,31,EVEN,4828
514229,32,EVEN,2414
514229,33,ODD,1207
514229,34,EVEN,3622
514229,35,ODD,1811
514229,36,EVEN,5434
514229,37,ODD,2717
514229,38,EVEN,8152
514229,39,EVEN,4076
514229,40,EVEN,2038
514229,41,ODD,1019
514229,42,EVEN,3058
514229,43,ODD,1529
514229,44,EVEN,4588
514229,45,EVEN,2294
514229,46,ODD,1147
514229,47,EVEN,3442
514229,48,ODD,1721
514229,49,EVEN,5164
514229,50,EVEN,2582
514229,51,ODD,1291
514229,52,EVEN,3874
514229,53,ODD,1937
514229,54,EVEN,5812
514229,55,EVEN,2906
514229,56,ODD,1453
514229,57,EVEN,4360
514229,58,EVEN,2180
514229,59,EVEN,1090
514229,60,ODD,545
514229,61,EVEN,1636
514229,62,EVEN,818
514229,63,ODD,409
514229,64,EVEN,1228
514229,65,EVEN,614
514229,66,ODD,307
514229,67,EVEN,922
514229,68,ODD,461
514229,69,EVEN,1384
514229,70,EVEN,692
