V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,4,31,37,162,181,187,113,300,200
0,10,24,123,80,130,136,274,192,273
2,8,84,103,104,247,129,241,291,204
8,14,64,34,146,103,246,128,364,277
6,113,39,138,113,132,120,245,189,226
