NUMBER,EVEN,ODD
958502062,114, 53
151806687,113, 54
997374202,114, 53
147841985,113, 54
881805030,114, 53
886976094,114, 53
904874430,114, 53
876998290,114, 53
157563840,113, 54
875954333,114, 53
146232004,113, 54
866439525,114, 53
953741828,114, 53
892527294,114, 53
957319438,114, 53
868157107,114, 53
892641550,114, 53
893191060,114, 53
857286979,114, 53
864805658,114, 53
875048004,114, 53
143322048,113, 54
25134515,112, 55
914717533,114, 53
889975294,114, 53
887940068,114, 53
916967666,114, 53
957311421,114, 53
891810049,114, 53
860903396,114, 53
148224615,113, 54
867019813,114, 53
890921910,114, 53
148813864,113, 54
961135878,114, 53
867668380,114, 53
856459159,114, 53
148725716,113, 54
971256239,114, 53
892852998,114, 53
970545444,114, 53
159210312,113, 54
961271490,114, 53
965096867,114, 53
144088330,113, 54
963816895,114, 53
964057293,114, 53
892793976,114, 53
891364213,114, 53
894059965,114, 53
24547770,112, 55
979086140,114, 53
891262002,114, 53
147230582,113, 54
876591560,114, 53
876767643,114, 53
862124582,114, 53
939548765,114, 53
962732129,114, 53
862825001,114, 53
892987953,114, 53
946182266,114, 53
961230565,114, 53
892654693,114, 53
25397661,112, 55
986056198,114, 53
977409617,114, 53
963728773,114, 53
866542543,114, 53
971046697,114, 53
953754599,114, 53
895660957,114, 53
963412930,114, 53
899594345,114, 53
972394319,114, 53
927549685,114, 53
965781267,114, 53
875523451,114, 53
919149973,114, 53
148685771,113, 54
915407279,114, 53
904899760,114, 53
887730836,114, 53
884351717,114, 53
876926157,114, 53
881782859,114, 53
887703894,114, 53
964167147,114, 53
961941946,114, 53
959601810,114, 53
987937014,114, 53
974462844,114, 53
901387857,114, 53
955231684,114, 53
893487904,114, 53
177255437,113, 54
997197714,114, 53
884388139,114, 53
901992532,114, 53
158806926,113, 54
963507928,114, 53
986919335,114, 53
859198468,114, 53
937533324,114, 53
876847140,114, 53
177725689,113, 54
859792843,114, 53
972334162,114, 53
877037442,114, 53
862072355,114, 53
948197870,114, 53
887305797,114, 53
868934610,114, 53
26649482,112, 55
151225893,113, 54
920706187,114, 53
152735759,113, 54
894354939,114, 53
900531540,114, 53
155926457,113, 54
884408321,114, 53
868002104,114, 53
864649150,114, 53
906826913,114, 53
958406910,114, 53
961986161,114, 53
961014983,114, 53
867206782,114, 53
968407193,114, 53
965695588,114, 53
967563390,114, 53
955413411,114, 53
144561730,113, 54
964356366,114, 53
956827407,114, 53
883218262,114, 53
148659274,113, 54
953809490,114, 53
879998240,114, 53
157704094,113, 54
964023654,114, 53
889676441,114, 53
886688991,114, 53
177237304,113, 54
144536868,113, 54
896571272,114, 53
955234084,114, 53
888615243,114, 53
891455073,114, 53
958306970,114, 53
