NUMBER,EVEN,ODD
138935777,143, 73
824374903,144, 72
866085649,144, 72
862484316,144, 72
823846279,144, 72
890841042,144, 72
827322549,144, 72
810072399,144, 72
911509461,144, 72
893857868,144, 72
886113634,144, 72
163408640,143, 73
833854492,144, 72
859432044,144, 72
144361651,143, 73
865647148,144, 72
791209881,144, 72
868630750,144, 72
982203094,144, 72
23099676,142, 74
839759148,144, 72
894899707,144, 72
980614680,144, 72
836533201,144, 72
888189714,144, 72
887790961,144, 72
876672386,144, 72
135054639,143, 73
802777772,144, 72
982763683,144, 72
910707945,144, 72
835703670,144, 72
142712436,143, 73
861085713,144, 72
810117629,144, 72
827895564,144, 72
984729832,144, 72
819640105,144, 72
790854526,144, 72
133591612,143, 73
838922544,144, 72
887751983,144, 72
813079251,144, 72
140371360,143, 73
858399265,144, 72
143697090,143, 73
133321012,143, 73
141578759,143, 73
815135083,144, 72
827993174,144, 72
796236240,144, 72
840937447,144, 72
883666209,144, 72
880237489,144, 72
815096799,144, 72
816691191,144, 72
141248583,143, 73
801393452,144, 72
886083514,144, 72
872983062,144, 72
148452265,143, 73
846523077,144, 72
898604747,144, 72
886292136,144, 72
854867149,144, 72
844149593,144, 72
794606159,144, 72
844136639,144, 72
979958881,144, 72
147643394,143, 73
828980957,144, 72
869805984,144, 72
851691997,144, 72
830444080,144, 72
799459815,144, 72
839453485,144, 72
881120394,144, 72
894221255,144, 72
801456802,144, 72
831585418,144, 72
800064993,144, 72
878944540,144, 72
807998517,144, 72
143069124,143, 73
845610995,144, 72
793551689,144, 72
835103334,144, 72
838392234,144, 72
828202446,144, 72
828509405,144, 72
874947803,144, 72
136522584,143, 73
897253240,144, 72
131780070,143, 73
799002143,144, 72
843891889,144, 72
832024884,144, 72
142630329,143, 73
133405505,143, 73
815170398,144, 72
860247952,144, 72
893634322,144, 72
800575189,144, 72
846665373,144, 72
839473265,144, 72
836814634,144, 72
138482613,143, 73
164167882,143, 73
897234431,144, 72
163821244,143, 73
890965587,144, 72
793584346,144, 72
983909396,144, 72
23095437,142, 74
822305266,144, 72
836398482,144, 72
910581220,144, 72
826798278,144, 72
829101305,144, 72
897813292,144, 72
802429673,144, 72
897831879,144, 72
164222673,143, 73
837504730,144, 72
862276182,144, 72
886480789,144, 72
882736385,144, 72
139288566,143, 73
869821626,144, 72
821976833,144, 72
821966189,144, 72
858726593,144, 72
843621250,144, 72
859475646,144, 72
23487792,142, 74
841893097,144, 72
828295190,144, 72
163692402,143, 73
827470037,144, 72
869676564,144, 72
927768570,144, 72
817017051,144, 72
145617761,143, 73
889597438,144, 72
825427711,144, 72
803395462,144, 72
825749614,144, 72
801406683,144, 72
887511078,144, 72
883441379,144, 72
848996908,144, 72
887390605,144, 72
861323525,144, 72
832986050,144, 72
879865294,144, 72
144955395,143, 73
815470379,144, 72
835252405,144, 72
791108827,144, 72
844497429,144, 72
801274044,144, 72
139256381,143, 73
894449993,144, 72
138643502,143, 73
886120646,144, 72
857407432,144, 72
141867939,143, 73
869514614,144, 72
843906473,144, 72
845940455,144, 72
815929823,144, 72
882488492,144, 72
869974285,144, 72
827212923,144, 72
824920440,144, 72
816746915,144, 72
887763279,144, 72
886153587,144, 72
833111729,144, 72
801818360,144, 72
885740120,144, 72
140613382,143, 73
839958300,144, 72
860086694,144, 72
846643180,144, 72
858320418,144, 72
798708492,144, 72
825496650,144, 72
869931219,144, 72
141879338,143, 73
810010610,144, 72
886368517,144, 72
886005773,144, 72
861439960,144, 72
883954852,144, 72
886126228,144, 72
137823814,143, 73
142747187,143, 73
801286366,144, 72
815060985,144, 72
861585341,144, 72
886728935,144, 72
861196902,144, 72
833389917,144, 72
824649010,144, 72
22765703,142, 74
894174991,144, 72
886165663,144, 72
140092823,143, 73
134992864,143, 73
852283665,144, 72
882502591,144, 72
879623618,144, 72
981072498,144, 72
791887822,144, 72
886581087,144, 72
833835821,144, 72
828223323,144, 72
890188710,144, 72
856639395,144, 72
790950293,144, 72
791220967,144, 72
815007387,144, 72
841409758,144, 72
856452564,144, 72
794626614,144, 72
837308631,144, 72
801520172,144, 72
983028302,144, 72
824110847,144, 72
827550642,144, 72
836489256,144, 72
830878768,144, 72
827386764,144, 72
803335370,144, 72
147564723,143, 73
856432404,144, 72
837360845,144, 72
861799616,144, 72
139131341,143, 73
836927765,144, 72
837255818,144, 72
846808840,144, 72
831070937,144, 72
808001070,144, 72
830913024,144, 72
851533583,144, 72
135990145,143, 73
142412787,143, 73
832568355,144, 72
815144544,144, 72
851674546,144, 72
800677276,144, 72
982508301,144, 72
801514239,144, 72
131861437,143, 73
831579976,144, 72
832017197,144, 72
859571472,144, 72
857132111,144, 72
799775968,144, 72
927795484,144, 72
846727004,144, 72
148321127,143, 73
860180934,144, 72
133555807,143, 73
852231072,144, 72
855463603,144, 72
843370908,144, 72
880276952,144, 72
871628410,144, 72
845709127,144, 72
831259745,144, 72
142807179,143, 73
802013430,144, 72
819597891,144, 72
144902634,143, 73
839398233,144, 72
815208466,144, 72
139982720,143, 73
898610083,144, 72
163493774,143, 73
984906710,144, 72
136152454,143, 73
888496628,144, 72
147596715,143, 73
822527641,144, 72
865483323,144, 72
141882173,143, 73
139886859,143, 73
911653880,144, 72
803331222,144, 72
832630120,144, 72
145624429,143, 73
140358838,143, 73
885009052,144, 72
886083256,144, 72
885030607,144, 72
790940052,144, 72
981193415,144, 72
870156886,144, 72
840821003,144, 72
794224615,144, 72
828256284,144, 72
835055306,144, 72
816219106,144, 72
824760104,144, 72
819524550,144, 72
134741625,143, 73
142843192,143, 73
815304219,144, 72
819981825,144, 72
833322958,144, 72
836004424,144, 72
23756524,142, 74
800489731,144, 72
886779947,144, 72
133588433,143, 73
821811286,144, 72
816034183,144, 72
829256310,144, 72
886212717,144, 72
820248875,144, 72
825954579,144, 72
861180122,144, 72
828899971,144, 72
848455711,144, 72
839837806,144, 72
148457331,143, 73
861295254,144, 72
829768959,144, 72
835640026,144, 72
794322093,144, 72
860232690,144, 72
888695043,144, 72
861812562,144, 72
843740595,144, 72
882460836,144, 72
878616384,144, 72
869988191,144, 72
792327390,144, 72
887749131,144, 72
799005140,144, 72
807803934,144, 72
139249304,143, 73
865459833,144, 72
851714261,144, 72
860100734,144, 72
136421033,143, 73
840563021,144, 72
859413744,144, 72
791630970,144, 72
884184965,144, 72
825057562,144, 72
837355774,144, 72
835931825,144, 72
825121134,144, 72
822730361,144, 72
863528170,144, 72
902954479,144, 72
139190095,143, 73
800663540,144, 72
793976642,144, 72
887348283,144, 72
845730216,144, 72
886331177,144, 72
847203641,144, 72
862974531,144, 72
140148249,143, 73
829705359,144, 72
863396890,144, 72
840008501,144, 72
141064544,143, 73
851653301,144, 72
983137610,144, 72
132291746,143, 73
141965243,143, 73
140560039,143, 73
816606799,144, 72
873608059,144, 72
792117382,144, 72
132330942,143, 73
836826945,144, 72
3662462,141, 75
839453735,144, 72
857586036,144, 72
824995675,144, 72
886183903,144, 72
832653048,144, 72
839287857,144, 72
800441077,144, 72
870034382,144, 72
842688068,144, 72
833206823,144, 72
866086155,144, 72
133499116,143, 73
801547988,144, 72
138716469,143, 73
851564370,144, 72
107511,139, 77
140378804,143, 73
870127704,144, 72
886163522,144, 72
824420509,144, 72
810420549,144, 72
812250423,144, 72
139893142,143, 73
136599766,143, 73
882977622,144, 72
836722386,144, 72
825158341,144, 72
151784683,143, 73
131832868,143, 73
801617845,144, 72
137531724,143, 73
147664836,143, 73
983121634,144, 72
142463149,143, 73
840702045,144, 72
845958456,144, 72
802038321,144, 72
869419732,144, 72
829085969,144, 72
894620403,144, 72
859424691,144, 72
832987889,144, 72
790839165,144, 72
854973625,144, 72
837102159,144, 72
861108982,144, 72
860834913,144, 72
833127768,144, 72
869711965,144, 72
838533092,144, 72
799927734,144, 72
145108401,143, 73
132334034,143, 73
985717521,144, 72
912765131,144, 72
807774864,144, 72
821807270,144, 72
799817415,144, 72
894308154,144, 72
815369645,144, 72
790095455,144, 72
812137363,144, 72
984481807,144, 72
894692764,144, 72
983193329,144, 72
886330662,144, 72
23276859,142, 74
833315497,144, 72
845987187,144, 72
839143962,144, 72
800863508,144, 72
885660983,144, 72
985540983,144, 72
797148660,144, 72
823889453,144, 72
891234768,144, 72
862315102,144, 72
849141910,144, 72
885985518,144, 72
801754628,144, 72
823796218,144, 72
139284099,143, 73
840173531,144, 72
814948275,144, 72
824310476,144, 72
875976737,144, 72
836775986,144, 72
884200932,144, 72
902968119,144, 72
883024745,144, 72
859375313,144, 72
816494799,144, 72
862336866,144, 72
794950636,144, 72
825593234,144, 72
143830065,143, 73
832801635,144, 72
863075014,144, 72
833000890,144, 72
834981835,144, 72
853457186,144, 72
833583531,144, 72
858723948,144, 72
856975945,144, 72
880210199,144, 72
838473257,144, 72
835085505,144, 72
140681585,143, 73
887738626,144, 72
837415751,144, 72
133474698,143, 73
141343071,143, 73
851245723,144, 72
843952453,144, 72
895652974,144, 72
859735352,144, 72
859442215,144, 72
860147351,144, 72
138545459,143, 73
838983553,144, 72
138597265,143, 73
844141173,144, 72
872936975,144, 72
827571835,144, 72
838225012,144, 72
836567285,144, 72
24254213,142, 74
820224641,144, 72
860410255,144, 72
846516314,144, 72
833552013,144, 72
844095906,144, 72
825046426,144, 72
828083685,144, 72
833357316,144, 72
139287218,143, 73
825100470,144, 72
862976787,144, 72
859731106,144, 72
139664678,143, 73
828983726,144, 72
890692601,144, 72
133426770,143, 73
798102079,144, 72
163653615,143, 73
844186526,144, 72
138832304,143, 73
815127484,144, 72
862977418,144, 72
799980625,144, 72
886317067,144, 72
790802316,144, 72
164251807,143, 73
871599704,144, 72
833259817,144, 72
844242537,144, 72
873838096,144, 72
861755078,144, 72
856077841,144, 72
884205095,144, 72
872949891,144, 72
821217331,144, 72
843674684,144, 72
856464074,144, 72
858618904,144, 72
836005992,144, 72
833585783,144, 72
840946841,144, 72
135869842,143, 73
147728095,143, 73
799939822,144, 72
793876047,144, 72
869940663,144, 72
911677410,144, 72
163416617,143, 73
851193797,144, 72
141871744,143, 73
858051793,144, 72
879021399,144, 72
870579428,144, 72
894199574,144, 72
143009584,143, 73
824886076,144, 72
980089848,144, 72
793829369,144, 72
831334712,144, 72
826255897,144, 72
790986532,144, 72
793569563,144, 72
792033725,144, 72
831399048,144, 72
821024706,144, 72
791171078,144, 72
861536211,144, 72
869670212,144, 72
827911651,144, 72
147743913,143, 73
837628553,144, 72
886119484,144, 72
791209510,144, 72
860131890,144, 72
825290502,144, 72
794969228,144, 72
894161848,144, 72
885442979,144, 72
861466682,144, 72
138558582,143, 73
834886744,144, 72
881070493,144, 72
133393443,143, 73
834528828,144, 72
148590254,143, 73
983199205,144, 72
834741381,144, 72
815093264,144, 72
814645350,144, 72
869772045,144, 72
839184808,144, 72
890580914,144, 72
831911568,144, 72
911055689,144, 72
137173371,143, 73
839888417,144, 72
800608630,144, 72
982603786,144, 72
826685090,144, 72
819989689,144, 72
883555301,144, 72
844327160,144, 72
801401069,144, 72
133131113,143, 73
886463267,144, 72
884206453,144, 72
798672191,144, 72
832722493,144, 72
874149302,144, 72
888690041,144, 72
791265100,144, 72
851686472,144, 72
825355714,144, 72
886257047,144, 72
824289111,144, 72
22646558,142, 74
794311036,144, 72
854594302,144, 72
982803744,144, 72
799383613,144, 72
135339054,143, 73
149761529,143, 73
848232435,144, 72
23919157,142, 74
796368843,144, 72
887846909,144, 72
863058135,144, 72
840490230,144, 72
880135159,144, 72
843034006,144, 72
826873372,144, 72
796845239,144, 72
843585348,144, 72
799807307,144, 72
890635251,144, 72
819499296,144, 72
836832245,144, 72
845344948,144, 72
837857973,144, 72
886216271,144, 72
138546634,143, 73
825238319,144, 72
147601449,143, 73
831560196,144, 72
838469362,144, 72
815038780,144, 72
825594001,144, 72
808382269,144, 72
141381396,143, 73
149082244,143, 73
839490952,144, 72
882691735,144, 72
793324590,144, 72
792025818,144, 72
815656830,144, 72
822146348,144, 72
824338403,144, 72
848870702,144, 72
142828654,143, 73
824425139,144, 72
818706972,144, 72
876791016,144, 72
982418463,144, 72
911087630,144, 72
893007367,144, 72
139151754,143, 73
827901749,144, 72
887736079,144, 72
826980389,144, 72
980764989,144, 72
890498924,144, 72
794353385,144, 72
831372589,144, 72
812187947,144, 72
927099341,144, 72
871776589,144, 72
862184946,144, 72
842011915,144, 72
791671779,144, 72
903267033,144, 72
828754646,144, 72
24176541,142, 74
911105190,144, 72
793596573,144, 72
844336133,144, 72
845949544,144, 72
790846889,144, 72
983242739,144, 72
836738382,144, 72
800852570,144, 72
815411940,144, 72
843340711,144, 72
845545315,144, 72
837019863,144, 72
822767083,144, 72
794611259,144, 72
859799549,144, 72
792125697,144, 72
819487219,144, 72
138120153,143, 73
863111066,144, 72
137979765,143, 73
886834442,144, 72
790312070,144, 72
848314119,144, 72
858325393,144, 72
862326912,144, 72
133482414,143, 73
887853746,144, 72
801320984,144, 72
833304381,144, 72
801347702,144, 72
848599062,144, 72
829315870,144, 72
799414512,144, 72
23176557,142, 74
982332123,144, 72
145772589,143, 73
147531265,143, 73
851820881,144, 72
794631041,144, 72
843155443,144, 72
825105119,144, 72
825278922,144, 72
862187304,144, 72
133576869,143, 73
833139135,144, 72
834454086,144, 72
838313711,144, 72
851275889,144, 72
843715990,144, 72
843697621,144, 72
858027823,144, 72
820647511,144, 72
873885790,144, 72
848057062,144, 72
836828505,144, 72
141768171,143, 73
138284538,143, 73
833479319,144, 72
140903035,143, 73
983446718,144, 72
831411013,144, 72
820973517,144, 72
862488581,144, 72
859119874,144, 72
817824717,144, 72
843673364,144, 72
910611272,144, 72
823788506,144, 72
860122497,144, 72
822021393,144, 72
147411806,143, 73
886040413,144, 72
838374371,144, 72
799376563,144, 72
812702943,144, 72
801738968,144, 72
874541110,144, 72
821990346,144, 72
890611095,144, 72
140102806,143, 73
809553896,144, 72
879531874,144, 72
828186326,144, 72
826889741,144, 72
864285595,144, 72
834816980,144, 72
851319080,144, 72
839241960,144, 72
887819492,144, 72
815944055,144, 72
138125870,143, 73
794224541,144, 72
829309593,144, 72
838445438,144, 72
794310510,144, 72
814772914,144, 72
828822453,144, 72
809295526,144, 72
910623137,144, 72
865675745,144, 72
828446336,144, 72
824421015,144, 72
981075886,144, 72
983108457,144, 72
857067383,144, 72
138531018,143, 73
834889479,144, 72
790095737,144, 72
143921253,143, 73
809676125,144, 72
848082622,144, 72
873601921,144, 72
861100545,144, 72
834766214,144, 72
827004621,144, 72
139681006,143, 73
801875423,144, 72
848120763,144, 72
793680410,144, 72
843436195,144, 72
828461197,144, 72
838316945,144, 72
140395182,143, 73
819367361,144, 72
815955885,144, 72
133704347,143, 73
887762945,144, 72
853806076,144, 72
819749239,144, 72
829009584,144, 72
870243039,144, 72
826361488,144, 72
860257159,144, 72
810240166,144, 72
793000729,144, 72
870448492,144, 72
858390578,144, 72
873325562,144, 72
856850205,144, 72
139927374,143, 73
143699906,143, 73
833382245,144, 72
825283101,144, 72
851029415,144, 72
910601071,144, 72
147862034,143, 73
799837141,144, 72
897092047,144, 72
895145802,144, 72
885028993,144, 72
983973744,144, 72
856339920,144, 72
800627844,144, 72
138776843,143, 73
825118069,144, 72
869813959,144, 72
143516830,143, 73
138811485,143, 73
140732261,143, 73
799757702,144, 72
137994669,143, 73
143377567,143, 73
863069005,144, 72
23834870,142, 74
851995947,144, 72
857936594,144, 72
839601369,144, 72
891542995,144, 72
835905419,144, 72
860266728,144, 72
838009229,144, 72
133559212,143, 73
825674358,144, 72
790362735,144, 72
794439453,144, 72
832781549,144, 72
869412475,144, 72
823675462,144, 72
147866826,143, 73
828078962,144, 72
878663000,144, 72
831478745,144, 72
902577065,144, 72
819622125,144, 72
855895894,144, 72
138624768,143, 73
845866269,144, 72
980604280,144, 72
834755588,144, 72
831949290,144, 72
980753061,144, 72
860988400,144, 72
800407372,144, 72
844199639,144, 72
839592525,144, 72
870224460,144, 72
833259441,144, 72
836775896,144, 72
878620460,144, 72
830245969,144, 72
790997454,144, 72
794216251,144, 72
141360046,143, 73
842304702,144, 72
887829244,144, 72
135337133,143, 73
831281814,144, 72
22709519,142, 74
815158500,144, 72
133837308,143, 73
818844192,144, 72
134972509,143, 73
139580838,143, 73
801833649,144, 72
823474357,144, 72
801885087,144, 72
839837603,144, 72
862188497,144, 72
831223286,144, 72
139011214,143, 73
135034674,143, 73
139661011,143, 73
851589783,144, 72
828863126,144, 72
831339041,144, 72
799820318,144, 72
819422436,144, 72
856679468,144, 72
801573053,144, 72
888276853,144, 72
889632931,144, 72
845172281,144, 72
808314319,144, 72
131817803,143, 73
143459195,143, 73
888080402,144, 72
141956284,143, 73
886247472,144, 72
880084569,144, 72
835691351,144, 72
133436784,143, 73
796475461,144, 72
817065555,144, 72
854912218,144, 72
843400318,144, 72
882799703,144, 72
911565772,144, 72
981458421,144, 72
863390791,144, 72
792206884,144, 72
844282468,144, 72
882464907,144, 72
832343088,144, 72
882967397,144, 72
839156762,144, 72
831391124,144, 72
834501143,144, 72
837922380,144, 72
847674668,144, 72
879113123,144, 72
845922628,144, 72
147611607,143, 73
829774583,144, 72
142805273,143, 73
822664611,144, 72
163460722,143, 73
137598533,143, 73
792314830,144, 72
839347802,144, 72
137818927,143, 73
858695334,144, 72
793771249,144, 72
846324983,144, 72
984751413,144, 72
799971717,144, 72
856537460,144, 72
824891299,144, 72
822809330,144, 72
821504873,144, 72
882489586,144, 72
833483696,144, 72
799572003,144, 72
819371374,144, 72
862397789,144, 72
825057274,144, 72
852680742,144, 72
810284011,144, 72
983496164,144, 72
910635794,144, 72
870315458,144, 72
845941849,144, 72
842262919,144, 72
802769222,144, 72
840923564,144, 72
