NUMBER,EVEN,ODD
944476858,141, 70
159616127,140, 71
933420431,141, 70
163267931,140, 71
26702323,139, 72
996319022,141, 70
997607526,141, 70
917068818,141, 70
976514262,141, 70
994098386,141, 70
944092921,141, 70
932014155,141, 70
963319821,141, 70
996429813,141, 70
926628953,141, 70
926497999,141, 70
900084712,141, 70
935875934,141, 70
974495109,141, 70
953424219,141, 70
922623073,141, 70
151976767,140, 71
930276968,141, 70
938896208,141, 70
891001041,141, 70
945069206,141, 70
925690828,141, 70
159740369,140, 71
971351689,141, 70
946066269,141, 70
966891030,141, 70
967745878,141, 70
916612253,141, 70
943876042,141, 70
918823619,141, 70
949305369,141, 70
154119824,140, 71
939837509,141, 70
908779977,141, 70
936004948,141, 70
891223590,141, 70
997092399,141, 70
998745298,141, 70
926026481,141, 70
917017981,141, 70
964782753,141, 70
158740947,140, 71
961287515,141, 70
155592359,140, 71
994353846,141, 70
157486907,140, 71
993852604,141, 70
972357951,141, 70
892743218,141, 70
924212187,141, 70
936228144,141, 70
889697474,141, 70
978311657,141, 70
923626459,141, 70
148359291,140, 71
925854961,141, 70
155222698,140, 71
957753668,141, 70
899740001,141, 70
924743794,141, 70
951655196,141, 70
184654189,140, 71
936686344,141, 70
913754269,141, 70
930584424,141, 70
901100033,141, 70
940131716,141, 70
928450994,141, 70
166075817,140, 71
941486864,141, 70
951891459,141, 70
155163481,140, 71
938376922,141, 70
184599231,140, 71
966862150,141, 70
890084811,141, 70
969149068,141, 70
156106538,140, 71
905721135,141, 70
964594555,141, 70
928509927,141, 70
944672992,141, 70
919029162,141, 70
931740447,141, 70
948727984,141, 70
947112430,141, 70
928323513,141, 70
999613103,141, 70
946079766,141, 70
925526332,141, 70
897587826,141, 70
932834751,141, 70
925493883,141, 70
948537130,141, 70
930714351,141, 70
917063030,141, 70
964344370,141, 70
154544952,140, 71
160571456,140, 71
898782798,141, 70
893246923,141, 70
910469772,141, 70
893492207,141, 70
930236001,141, 70
968632451,141, 70
996412642,141, 70
996910810,141, 70
160491143,140, 71
899911577,141, 70
150352502,140, 71
990090292,141, 70
946391318,141, 70
951881012,141, 70
927312045,141, 70
968987192,141, 70
893636755,141, 70
162044719,140, 71
916927624,141, 70
930486284,141, 70
893616019,141, 70
903750100,141, 70
976494458,141, 70
183894113,140, 71
929263259,141, 70
939858092,141, 70
970893380,141, 70
152791445,140, 71
921934332,141, 70
901473058,141, 70
944628265,141, 70
889670757,141, 70
961849722,141, 70
925539415,141, 70
947110316,141, 70
928758013,141, 70
988346824,141, 70
925797634,141, 70
156951139,140, 71
937872960,141, 70
927738318,141, 70
930941882,141, 70
25733595,139, 72
927628923,141, 70
900995865,141, 70
930558193,141, 70
968855342,141, 70
926396738,141, 70
896419471,141, 70
903275791,141, 70
991200381,141, 70
26152790,139, 72
945747098,141, 70
901576203,141, 70
927882696,141, 70
157940571,140, 71
155882005,140, 71
893946961,141, 70
927306083,141, 70
940412979,141, 70
154553569,140, 71
927256448,141, 70
968845963,141, 70
156995470,140, 71
946393068,141, 70
942196731,141, 70
936777381,141, 70
931478556,141, 70
958219460,141, 70
967039231,141, 70
998922126,141, 70
148355583,140, 71
931787947,141, 70
26017020,139, 72
949057597,141, 70
936041160,141, 70
917636816,141, 70
910564139,141, 70
967104065,141, 70
943842133,141, 70
965653670,141, 70
957709563,141, 70
997789996,141, 70
150280127,140, 71
910107279,141, 70
930720484,141, 70
899906965,141, 70
952664663,141, 70
918421324,141, 70
902194631,141, 70
948502645,141, 70
970710854,141, 70
930401894,141, 70
160573760,140, 71
999119276,141, 70
154438347,140, 71
942036161,141, 70
922516678,141, 70
897463755,141, 70
168300764,140, 71
26154397,139, 72
26092452,139, 72
899978614,141, 70
945636594,141, 70
998120300,141, 70
958562916,141, 70
152935908,140, 71
941738052,141, 70
155858435,140, 71
977177197,141, 70
154282435,140, 71
965267234,141, 70
924954787,141, 70
927526580,141, 70
155881642,140, 71
937466746,141, 70
934326178,141, 70
902620106,141, 70
978912812,141, 70
946099632,141, 70
939803438,141, 70
899209326,141, 70
948700369,141, 70
930273632,141, 70
969245865,141, 70
965220809,141, 70
922182380,141, 70
911600856,141, 70
160577583,140, 71
950024359,141, 70
929516188,141, 70
896094688,141, 70
930242495,141, 70
893735428,141, 70
952840785,141, 70
896170754,141, 70
150431010,140, 71
923113410,141, 70
157370243,140, 71
924315998,141, 70
994001928,141, 70
937120686,141, 70
894800311,141, 70
155997249,140, 71
895967522,141, 70
965707176,141, 70
999824039,141, 70
717651,137, 74
998906738,141, 70
967654563,141, 70
975443896,141, 70
165492357,140, 71
916814038,141, 70
154520913,140, 71
918633231,141, 70
947142859,141, 70
889819107,141, 70
157305514,140, 71
968578098,141, 70
942789160,141, 70
941372881,141, 70
953927332,141, 70
927463079,141, 70
184037597,140, 71
916790469,141, 70
164802619,140, 71
913551627,141, 70
903375772,141, 70
924756195,141, 70
951836852,141, 70
27334182,139, 72
916453918,141, 70
949919645,141, 70
929130269,141, 70
918525721,141, 70
