V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
128,43,48,135,50,54,106,52,61,49
71,46,97,143,49,95,160,125,155,21
35,102,27,39,163,172,35,151,131,40
57,122,28,58,45,45,51,64,12,142
59,135,53,56,75,153,48,68,47,133
76,154,45,65,48,63,141,68,97,22
124,44,60,55,22,48,62,123,39,29
91,110,63,39,79,151,31,153,47,37
128,58,55,132,60,62,174,59,46,34
33,68,29,128,134,33,145,104,63,39
72,76,68,39,71,34,132,106,78,118
138,23,61,91,129,41,138,138,136,68
37,59,41,139,187,58,34,70,61,65
123,82,77,57,107,140,57,151,130,61
93,135,44,105,164,181,66,146,45,66
135,58,122,107,69,57,59,132,76,63
40,70,62,64,121,80,40,61,79,61
54,58,78,33,127,185,49,71,52,140
108,93,117,45,52,153,27,88,125,123
47,136,120,45,101,36,138,123,122,161
104,45,53,150,42,96,97,39,27,133
49,125,62,60,61,29,179,133,52,31
99,56,43,66,133,77,114,160,63,107
41,146,50,145,12,14,130,98,153,37
40,35,18,143,32,114,66,148,59,166
42,48,36,105,68,40,51,65,36,82
30,35,137,102,83,64,96,63,45,35
139,129,46,37,53,17,34,40,36,67
17,19,38,132,37,181,163,128,34,70
20,40,45,72,48,47,40,128,45,58
106,115,118,120,135,106,60,200,102,91
31,53,34,164,123,133,39,141,127,141
58,132,53,24,121,164,176,41,159,39
62,78,140,26,78,138,42,129,32,129
32,81,123,115,49,50,21,79,58,53
94,61,102,68,128,97,151,61,71,136
33,92,97,115,128,123,67,25,38,27
33,39,143,39,110,24,94,138,31,39
40,141,50,42,28,172,63,45,47,42
110,102,141,43,70,88,109,28,48,48
89,200,35,86,120,112,185,34,98,61
55,36,130,173,69,52,179,154,34,74
115,52,48,42,52,80,146,29,13,164
54,104,50,148,55,23,125,146,34,47
143,130,66,45,110,105,47,148,93,185
47,81,176,51,90,66,130,22,31,128
126,48,47,48,131,150,54,67,130,117
139,47,93,134,27,125,46,132,72,52
110,29,29,62,57,21,128,120,112,123
21,45,131,33,57,37,152,44,37,75
85,90,149,138,174,16,39,27,45,40
145,48,50,128,163,49,174,58,14,97
34,110,99,99,36,36,140,128,141,60
107,112,146,122,43,146,115,97,79,110
136,117,104,106,71,32,117,104,195,53
33,53,63,99,48,53,97,26,152,97
125,128,34,49,109,42,136,21,52,58
53,55,119,39,37,144,40,142,124,136
155,59,133,184,151,132,37,142,154,71
73,146,27,12,29,31,117,154,40,21
101,202,44,138,34,83,74,136,71,86
138,48,61,66,135,94,161,139,128,39
40,66,58,49,123,62,55,52,58,128
86,114,104,119,34,72,80,97,29,129
112,138,161,175,42,48,92,96,93,34
39,127,79,135,128,76,135,122,103,66
34,61,177,91,115,43,37,120,32,18
123,27,102,155,75,51,35,55,47,94
138,59,118,169,55,81,26,61,45,15
55,49,151,145,171,84,156,26,120,37
91,129,37,55,62,41,63,172,37,112
105,120,60,31,79,84,107,130,117,94
138,96,26,78,80,70,40,154,205,62
143,48,197,61,67,99,44,154,141,142
53,136,156,40,27,25,86,159,70,129
156,118,66,61,68,50,116,64,156,50
160,150,140,50,73,24,94,137,128,76
130,158,66,93,39,169,182,138,46,138
61,58,61,141,50,74,39,42,57,77
16,35,100,61,109,76,19,172,125,153
71,40,154,94,57,78,135,127,133,141
86,27,48,80,53,97,77,115,65,159
45,130,71,168,38,110,32,26,176,45
34,49,88,50,61,125,44,73,229,133
123,91,76,159,71,50,34,122,96,34
40,159,37,45,44,57,42,132,29,132
61,122,84,27,138,84,46,50,50,143
134,83,124,40,10,105,53,78,42,164
146,159,47,128,55,32,27,79,130,32
50,48,84,154,98,58,55,97,51,167
103,35,48,55,53,50,61,165,22,71
43,143,97,125,51,27,57,110,97,158
12,45,45,154,47,24,49,28,45,63
166,130,148,120,33,65,80,40,71,151
89,63,76,42,42,127,69,43,128,90
28,78,39,98,76,79,88,130,84,58
141,68,66,42,48,99,136,19,113,102
55,53,143,102,37,123,48,75,50,58
50,110,66,27,109,37,141,94,120,117
37,106,97,48,140,141,185,44,119,71
