original_number,capture_iteration,capture_state,capture_number
1378,1,EVEN,1378
1378,2,ODD,689
1378,3,EVEN,2068
1378,4,EVEN,1034
1378,5,ODD,517
1378,6,EVEN,1552
1378,7,EVEN,776
1378,8,EVEN,388
1378,9,EVEN,194
1378,10,ODD,97
1378,11,EVEN,292
1378,12,EVEN,146
1378,13,ODD,73
1378,14,EVEN,220
1378,15,EVEN,110
1378,16,ODD,55
1378,17,EVEN,166
1378,18,ODD,83
1378,19,EVEN,250
1378,20,ODD,125
1378,21,EVEN,376
1378,22,EVEN,188
1378,23,EVEN,94
1378,24,ODD,47
1378,25,EVEN,142
1378,26,ODD,71
1378,27,EVEN,214
1378,28,ODD,107
1378,29,EVEN,322
1378,30,ODD,161
1378,31,EVEN,484
1378,32,EVEN,242
1378,33,ODD,121
1378,34,EVEN,364
1378,35,EVEN,182
1378,36,ODD,91
1378,37,EVEN,274
1378,38,ODD,137
1378,39,EVEN,412
1378,40,EVEN,206
1378,41,ODD,103
1378,42,EVEN,310
1378,43,ODD,155
1378,44,EVEN,466
1378,45,ODD,233
1378,46,EVEN,700
1378,47,EVEN,350
1378,48,ODD,175
1378,49,EVEN,526
1378,50,ODD,263
1378,51,EVEN,790
1378,52,ODD,395
1378,53,EVEN,1186
1378,54,ODD,593
1378,55,EVEN,1780
1378,56,EVEN,890
1378,57,ODD,445
1378,58,EVEN,1336
1378,59,EVEN,668
1378,60,EVEN,334
1378,61,ODD,167
1378,62,EVEN,502
1378,63,ODD,251
1378,64,EVEN,754
1378,65,ODD,377
1378,66,EVEN,1132
1378,67,EVEN,566
1378,68,ODD,283
1378,69,EVEN,850
1378,70,ODD,425
1378,71,EVEN,1276
1378,72,EVEN,638
1378,73,ODD,319
1378,74,EVEN,958
1378,75,ODD,479
1378,76,EVEN,1438
1378,77,ODD,719
1378,78,EVEN,2158
1378,79,ODD,1079
1378,80,EVEN,3238
1378,81,ODD,1619
1378,82,EVEN,4858
1378,83,ODD,2429
1378,84,EVEN,7288
1378,85,EVEN,3644
1378,86,EVEN,1822
1378,87,ODD,911
1378,88,EVEN,2734
1378,89,ODD,1367
1378,90,EVEN,4102
1378,91,ODD,2051
1378,92,EVEN,6154
1378,93,ODD,3077
1378,94,EVEN,9232
1378,95,EVEN,4616
1378,96,EVEN,2308
1378,97,EVEN,1154
1378,98,ODD,577
1378,99,EVEN,1732
1378,100,EVEN,866
1378,101,ODD,433
