k_value,n
48,21
45,20
61,20
40,19
128,18
39,17
50,17
37,16
58,15
34,14
53,14
97,14
42,13
47,13
55,13
138,13
27,12
66,12
71,12
123,12
130,12
141,12
49,10
52,10
57,10
63,10
29,9
35,9
62,9
76,9
110,9
125,9
132,9
135,9
154,9
32,8
44,8
68,8
78,8
79,8
94,8
102,8
120,8
133,8
136,8
143,8
146,8
31,7
33,7
36,7
43,7
59,7
117,7
122,7
129,7
21,6
46,6
51,6
60,6
70,6
80,6
84,6
91,6
93,6
99,6
104,6
115,6
151,6
159,6
28,5
41,5
65,5
86,5
105,5
106,5
107,5
112,5
127,5
140,5
153,5
22,4
24,4
26,4
64,4
67,4
72,4
75,4
77,4
88,4
96,4
98,4
109,4
142,4
145,4
156,4
164,4
172,4
185,4
12,3
19,3
38,3
54,3
69,3
73,3
74,3
81,3
83,3
90,3
114,3
118,3
119,3
124,3
131,3
134,3
148,3
150,3
155,3
160,3
161,3
163,3
174,3
176,3
14,2
16,2
17,2
18,2
23,2
25,2
56,2
82,2
89,2
92,2
101,2
103,2
121,2
137,2
139,2
152,2
158,2
166,2
169,2
179,2
181,2
200,2
10,1
13,1
15,1
20,1
30,1
85,1
95,1
100,1
108,1
113,1
116,1
126,1
144,1
149,1
165,1
167,1
168,1
171,1
173,1
175,1
177,1
182,1
184,1
187,1
195,1
197,1
202,1
205,1
229,1
