original_number,capture_iteration,capture_state,capture_number
965,4,EVEN,724
965,5,EVEN,362
965,6,ODD,181
965,7,EVEN,544
965,8,EVEN,272
965,9,EVEN,136
965,10,EVEN,68
965,11,EVEN,34
965,12,ODD,17
965,13,EVEN,52
965,14,EVEN,26
965,15,ODD,13
965,16,EVEN,40
965,17,EVEN,20
965,18,EVEN,10
965,19,ODD,5
965,20,EVEN,16
965,21,EVEN,8
965,22,EVEN,4
965,23,EVEN,2
965,24,END,1
75,1,ODD,75
75,2,EVEN,226
75,3,ODD,113
75,4,EVEN,340
75,5,EVEN,170
75,6,ODD,85
75,7,EVEN,256
75,8,EVEN,128
75,9,EVEN,64
75,10,EVEN,32
75,11,EVEN,16
75,12,EVEN,8
75,13,EVEN,4
75,14,EVEN,2
75,15,END,1
695,1,ODD,695
695,2,EVEN,2086
695,3,ODD,1043
695,4,EVEN,3130
695,5,ODD,1565
695,6,EVEN,4696
695,7,EVEN,2348
695,8,EVEN,1174
695,9,ODD,587
695,10,EVEN,1762
695,11,ODD,881
695,12,EVEN,2644
695,13,EVEN,1322
695,14,ODD,661
695,15,EVEN,1984
695,16,EVEN,992
695,17,EVEN,496
695,18,EVEN,248
695,19,EVEN,124
695,20,EVEN,62
695,21,ODD,31
695,22,EVEN,94
695,23,ODD,47
695,24,EVEN,142
695,25,ODD,71
695,26,EVEN,214
695,27,ODD,107
695,28,EVEN,322
695,29,ODD,161
695,30,EVEN,484
695,31,EVEN,242
695,32,ODD,121
695,33,EVEN,364
695,34,EVEN,182
695,35,ODD,91
695,36,EVEN,274
695,37,ODD,137
695,38,EVEN,412
695,39,EVEN,206
695,40,ODD,103
695,41,EVEN,310
695,42,ODD,155
695,43,EVEN,466
695,44,ODD,233
695,45,EVEN,700
695,46,EVEN,350
695,47,ODD,175
695,48,EVEN,526
695,49,ODD,263
695,50,EVEN,790
695,51,ODD,395
695,52,EVEN,1186
695,53,ODD,593
695,54,EVEN,1780
695,55,EVEN,890
695,56,ODD,445
695,57,EVEN,1336
695,58,EVEN,668
695,59,EVEN,334
695,60,ODD,167
695,61,EVEN,502
695,62,ODD,251
695,63,EVEN,754
695,64,ODD,377
695,65,EVEN,1132
695,66,EVEN,566
695,67,ODD,283
695,68,EVEN,850
695,69,ODD,425
695,70,EVEN,1276
695,71,EVEN,638
695,72,ODD,319
695,73,EVEN,958
695,74,ODD,479
695,75,EVEN,1438
695,76,ODD,719
695,77,EVEN,2158
695,78,ODD,1079
695,79,EVEN,3238
695,80,ODD,1619
695,81,EVEN,4858
695,82,ODD,2429
695,83,EVEN,7288
695,84,EVEN,3644
695,85,EVEN,1822
695,86,ODD,911
695,87,EVEN,2734
695,88,ODD,1367
695,89,EVEN,4102
695,90,ODD,2051
695,91,EVEN,6154
695,92,ODD,3077
695,93,EVEN,9232
695,94,EVEN,4616
695,95,EVEN,2308
695,96,EVEN,1154
695,97,ODD,577
695,98,EVEN,1732
695,99,EVEN,866
695,100,ODD,433
695,101,EVEN,1300
695,102,EVEN,650
695,103,ODD,325
695,104,EVEN,976
695,105,EVEN,488
695,106,EVEN,244
695,107,EVEN,122
695,108,ODD,61
695,109,EVEN,184
695,110,EVEN,92
695,111,EVEN,46
695,112,ODD,23
695,113,EVEN,70
695,114,ODD,35
695,115,EVEN,106
695,116,ODD,53
695,117,EVEN,160
695,118,EVEN,80
695,119,EVEN,40
695,120,EVEN,20
695,121,EVEN,10
695,122,ODD,5
695,123,EVEN,16
695,124,EVEN,8
695,125,EVEN,4
695,126,EVEN,2
695,127,END,1
287,1,ODD,287
287,2,EVEN,862
287,3,ODD,431
287,4,EVEN,1294
287,5,ODD,647
287,6,EVEN,1942
287,7,ODD,971
287,8,EVEN,2914
287,9,ODD,1457
287,10,EVEN,4372
287,11,EVEN,2186
287,12,ODD,1093
287,13,EVEN,3280
287,14,EVEN,1640
287,15,EVEN,820
287,16,EVEN,410
287,17,ODD,205
287,18,EVEN,616
287,19,EVEN,308
287,20,EVEN,154
287,21,ODD,77
287,22,EVEN,232
287,23,EVEN,116
287,24,EVEN,58
287,25,ODD,29
287,26,EVEN,88
287,27,EVEN,44
287,28,EVEN,22
287,29,ODD,11
287,30,EVEN,34
287,31,ODD,17
287,32,EVEN,52
287,33,EVEN,26
287,34,ODD,13
287,35,EVEN,40
287,36,EVEN,20
287,37,EVEN,10
287,38,ODD,5
287,39,EVEN,16
287,40,EVEN,8
