V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
109,57,93,34,22,98,42,111,44,143
37,17,33,55,124,124,88,117,122,132
135,135,41,117,25,9,21,35,31,34
117,31,132,116,41,42,123,134,34,22
27,15,11,68,14,24,122,87,106,12
124,30,107,127,28,37,98,142,15,94
50,37,34,120,16,119,30,102,36,70
113,55,111,104,130,44,127,16,96,127
14,45,21,16,25,47,10,122,117,95
39,29,135,21,50,114,29,117,116,50
86,35,21,122,31,17,28,18,44,94
132,29,12,55,127,130,117,116,118,108
34,23,41,49,143,29,135,49,132,17
47,42,33,109,41,50,43,16,42,31
112,42,104,10,41,42,87,122,25,114
55,42,52,29,37,130,24,21,36,31
25,18,21,47,25,33,67,39,62,11
18,47,37,117,121,15,26,124,47,8
47,54,37,16,118,24,130,47,68,39
124,25,26,105,117,122,106,16,20,93
23,60,23,45,41,21,113,22,114,106
130,123,39,55,25,29,122,126,19,16
122,45,11,38,117,86,29,24,24,42
55,30,42,117,113,96,42,28,143,20
120,29,52,37,42,143,73,55,88,59
36,105,48,23,70,108,101,26,42,57
96,15,31,34,105,52,34,33,96,29
119,109,24,93,27,26,10,70,21,45
121,96,37,44,27,118,32,93,174,23
28,34,132,52,35,60,22,24,10,8
24,114,113,103,34,49,29,50,33,50
130,49,119,26,25,124,44,31,60,99
5,100,48,46,24,129,5,171,12,50
124,36,29,16,137,8,33,122,52,51
39,37,114,23,112,93,38,78,42,30
15,32,18,37,38,36,70,47,61,47
132,16,10,106,24,34,120,130,26,127
56,114,47,38,94,123,56,106,25,55
49,104,18,38,118,44,144,109,118,15
113,119,26,28,108,113,16,29,38,14
59,13,113,123,36,44,42,86,101,44
101,55,65,16,42,55,34,29,46,34
22,61,47,117,96,108,117,24,23,29
39,23,34,93,94,86,113,99,111,109
130,14,73,125,57,13,29,43,31,71
28,126,22,34,37,55,47,60,60,132
23,26,7,97,13,98,16,0,20,54
21,100,31,39,24,111,56,21,15,55
37,19,30,26,90,36,29,17,14,114
126,41,26,37,97,93,123,42,37,21
33,47,24,104,47,27,122,70,30,67
122,119,179,115,86,27,71,112,20,34
52,43,51,117,29,130,111,129,130,65
35,52,31,39,112,106,82,16,101,65
44,6,28,64,43,40,47,49,51,20
135,50,98,55,23,50,35,28,31,43
126,117,29,116,96,65,29,26,122,28
28,104,49,29,30,46,114,34,24,105
130,42,34,17,24,44,39,73,127,113
65,22,85,116,44,174,59,19,23,98
122,10,135,117,18,148,9,132,50,105
117,16,99,142,114,137,88,116,0,116
92,101,104,87,145,29,134,65,82,127
109,128,21,121,29,130,29,123,54,12
62,25,47,41,29,9,47,115,114,23
60,127,140,45,47,10,117,69,54,118
21,135,30,59,17,103,117,117,27,124
24,17,73,82,121,124,18,17,25,50
116,97,17,60,19,124,23,122,124,20
127,121,109,25,43,119,42,23,127,39
11,42,117,10,37,54,50,36,26,52
29,30,24,29,54,55,18,33,21,15
62,137,98,100,68,124,23,49,130,18
29,28,28,31,109,16,117,31,14,30
24,32,56,18,114,19,25,28,16,20
31,99,115,130,24,21,21,103,18,107
25,110,30,29,15,34,34,91,31,135
47,112,31,126,29,62,62,61,51,36
121,37,21,21,123,55,129,20,34,39
42,49,36,29,48,78,109,33,135,101
22,144,40,127,32,36,98,103,38,120
108,118,148,110,59,35,65,26,21,116
25,26,65,19,81,17,37,118,55,16
122,13,41,29,34,55,50,37,50,99
57,44,64,117,33,92,22,37,127,20
17,119,20,37,24,6,43,16,26,39
47,37,88,122,47,93,106,23,69,14
46,44,34,124,174,50,13,137,39,130
34,30,34,129,11,135,106,48,42,123
42,47,16,109,25,17,37,28,34,22
26,127,140,26,38,15,47,50,49,28
19,132,42,28,85,96,65,37,10,46
108,16,14,112,83,135,120,135,14,32
64,119,43,50,126,127,29,49,119,171
41,30,36,135,127,137,37,14,135,34
20,117,82,96,39,8,34,16,23,111
31,15,26,42,121,117,115,144,119,11
41,21,143,57,14,103,70,122,21,42
31,46,34,107,22,33,14,101,51,36
39,36,106,42,113,113,16,18,23,25
