k_value,n
29,19
34,19
37,17
47,17
42,16
21,14
24,14
31,14
16,13
26,13
23,12
28,12
117,12
55,11
17,10
25,10
39,10
50,10
122,10
127,10
30,9
36,9
130,9
18,8
44,8
109,8
114,8
135,8
20,7
33,7
41,7
119,7
124,7
14,6
22,6
38,6
46,6
52,6
65,6
96,6
113,6
10,5
15,5
49,5
86,5
104,5
106,5
132,5
12,4
13,4
27,4
35,4
43,4
54,4
57,4
60,4
62,4
70,4
73,4
93,4
98,4
99,4
101,4
108,4
111,4
116,4
118,4
121,4
126,4
11,3
19,3
45,3
48,3
51,3
59,3
88,3
94,3
103,3
105,3
112,3
120,3
123,3
129,3
143,3
8,2
32,2
40,2
56,2
67,2
68,2
92,2
97,2
100,2
107,2
110,2
115,2
134,2
137,2
142,2
0,1
5,1
6,1
7,1
9,1
61,1
64,1
69,1
71,1
78,1
81,1
82,1
83,1
85,1
87,1
90,1
91,1
95,1
102,1
125,1
128,1
140,1
144,1
145,1
148,1
171,1
174,1
179,1
